cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,37,337,8,0,0,0,0,0,0,0,0.0,12.948718030482775,14.501229637086686,111.48,1914.76967430115,7627.62629462,AY,-0.243,0.08987663501354075
GHSL_2,0,18,133,3,0,0,0,0,0,0,0,0.0,12.866275250542932,14.533960369769357,101.87,764.934200286865,3384.81437358673,AY,-0.275,0.08987663501354075
GHSL_3,0,16,115,2,0,0,0,0,0,0,0,0.0,12.858954388864943,14.539238814961221,100.88,665.187698364258,3973.64216466104,AY,-0.275,0.08987663501354075
GHSL_4,0,3,137,15,0,0,0,0,0,0,0,0.0,12.823530559064698,14.555259478313014,96.64,778.714220046997,5813.3825552959,AY,-0.025,0.2724288127621956
GHSL_5,0,7,289,32,0,0,0,0,0,0,0,0.0,12.811523898039153,14.548373918288261,95.95,1639.82591819763,5293.79113840741,AY,-0.025,0.2724288127621956
GHSL_6,0,31,148,2,0,0,0,0,0,0,0,0.0,12.794598925995937,14.332774957284183,109.33,903.599365234375,5138.96347804095,AY,-0.35,0.4466523384877262
GHSL_7,0,41,141,1,0,0,0,0,0,0,0,0.0,12.793148093668739,14.297396616255934,111.95,914.689418792725,4201.64364758852,AY,-0.404,0.2553497779289838
GHSL_8,0,57,455,9,0,0,1,0,0,0,0,0.0,12.768801818063666,14.299487606980067,109.93,2608.79154205322,4515.46658877254,AY,-0.263,0.2553497779289838
GHSL_9,0,109,96,0,0,0,0,0,0,0,0,0.0,12.751023122751725,14.580603070702008,88.43,1025.63633728027,5567.14945632789,AY,-0.657,0.4466523384877262
GHSL_10,0,3,271,60,0,0,0,0,0,0,0,0.0,12.739058169755923,14.252610117469853,111.56,1667.08389663696,4629.18124716963,AY,0.089,0.2553497779289838
GHSL_11,0,75,96,0,0,0,0,0,0,0,0,0.0,12.734724278292557,14.423894556121448,97.69,855.419013977051,4255.81598993558,AY,-0.586,0.2724288127621956
GHSL_12,0,27,75,0,0,0,0,0,0,0,0,0.0,12.730926567537617,14.294943319849992,107.48,509.128078460693,4342.24373953683,AY,-0.439,0.2553497779289838
GHSL_13,1,163,63,0,0,0,0,0,0,0,0,0.0,12.729808932575404,14.532289181624881,89.63,1134.02262878418,3982.52020644137,AY,-0.809,0.2724288127621956
GHSL_14,0,63,53,0,0,0,0,0,0,0,0,0.0,12.724656965037674,14.574517745849317,86.42,581.191066741943,4956.85344769248,AY,-0.665,0.2724288127621956
GHSL_15,0,68,110,0,0,0,0,0,0,0,0,0.0,12.725187037331347,14.649785891969309,81.98,895.142379760742,4647.07270479295,AY,-0.542,0.4466523384877262
GHSL_16,0,24,118,1,0,0,0,0,0,0,0,0.0,12.71250580450194,14.367373968764788,100.29,716.300696372986,3887.6564253622,AY,-0.341,0.2553497779289838
GHSL_17,0,91,73,0,0,0,0,0,0,0,0,0.0,12.708991485706429,14.393418287211924,97.98,821.047773361206,3630.94648252606,AY,-0.674,0.2553497779289838
GHSL_18,0,0,141,65,0,0,0,0,0,0,0,0.0,12.696430374634938,14.307845111602647,103.93,1036.38825035095,4758.96448805632,AY,0.221,0.2553497779289838
GHSL_19,0,87,78,0,0,0,0,0,0,0,0,0.0,12.677356141844543,14.35025461230865,99.05,826.109056472778,3792.93604499857,AY,-0.651,0.2553497779289838
GHSL_20,3,228,42,0,0,0,0,0,0,0,0,0.0,12.672382632317369,14.606898203768786,79.67,1362.18417358398,3459.78775112195,AY,-0.939,0.29618332708166206
GHSL_21,0,51,165,1,0,0,0,0,0,0,0,0.0,12.674668043805534,14.287937423245824,104.08,1086.77946281433,4054.17908713714,AY,-0.415,0.2553497779289838
