cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,0,1,102,23,0,0,0,0,0,2,13067600.0,-25.931530024539004,31.50188003705296,16.01,627.154621124268,752.038145832687,NA,0.491,0.5212177963060568
GHSL_2,0,0,0,62,74,0,0,0,0,0,0,0.0,-25.991228081862996,32.0034155421853,18.71,678.73569726944,1312.73597788453,NA,0.795,0.42116507654078356
GHSL_3,0,0,0,228,175,0,0,0,0,0,0,0.0,-26.51517975491385,31.295591668003265,2.83,2014.85442209244,2428.28976468015,NA,0.712,0.048083261120685276
GHSL_4,0,0,0,24,86,0,0,0,0,0,0,0.0,-26.492528031990616,31.30315432253199,2.9,555.92329788208,1339.60649143854,NA,0.996,0.42116507654078356
GHSL_5,0,0,0,157,394,0,0,0,0,0,7,28659000.0,-26.2966685484775,31.115820538560477,1.65,2767.62686729431,2445.90453435079,NA,0.933,0.22162016942127397
GHSL_6,0,0,1,612,337,0,0,0,0,0,3,13871000.0,-26.53536925868315,31.36494680003786,2.64,4751.80625629425,1032.72688338045,NA,0.65,0.42116507654078356
GHSL_7,0,0,6,7292,7643,1,7,0,0,0,52,264309300.0,-26.49545345186246,31.346330109794696,0.74,74738.2505435944,2739.72076510123,NA,0.771,0.42116507654078356
GHSL_8,0,0,0,238,4398,0,3,0,0,0,14,66614000.0,-26.310161046459502,31.13836521589927,0.81,24329.4556965828,2996.2652536623,NA,1.259,0.22162016942127397
GHSL_9,0,0,0,210,461,0,0,0,0,0,2,23961200.0,-26.301179530991732,31.148911877164387,1.54,3360.75390720367,2678.83132014525,NA,0.909,0.22162016942127397
GHSL_10,0,0,0,7,221,0,0,0,0,0,3,21946000.0,-26.31534133261398,31.120038424145047,0.98,1238.72638130188,1893.61376620686,NA,1.34,0.42116507654078356
GHSL_11,0,0,0,280,505,0,0,0,0,0,2,7427300.0,-26.48102342094642,31.397125156277333,1.35,3929.26239538193,2282.5439140382,NA,0.873,0.36499257143242003
GHSL_12,0,0,18,247,9,0,0,0,0,0,1,1212200.0,-25.747724327952753,31.44535275973104,33.22,1373.29554796219,629.748140263835,NA,0.21,0.1329424683852563
GHSL_13,0,0,89,247,1,0,1,0,0,0,1,4010800.0,-25.764054735202503,31.40952073787979,29.53,1684.63537693024,646.470351124611,NA,-0.051,0.1329424683852563
GHSL_14,0,0,50,219,2,0,0,0,0,0,2,12079800.0,-25.78143619530962,31.430755032682736,29.51,1356.7116830349,567.907679092091,NA,0.028,0.1329424683852563
GHSL_15,0,0,108,93,0,0,0,0,0,0,2,8657200.0,-25.789812914066154,31.362493337828003,24.57,1005.99183297157,703.460675334746,NA,-0.268,0.11604740455148449
GHSL_16,0,0,114,109,0,0,0,0,0,0,1,2348900.0,-25.80280537438245,31.347839476994945,22.64,1118.21788406372,623.532299183499,NA,-0.249,0.11604740455148449
GHSL_17,0,0,50,118,0,0,0,0,0,0,0,0.0,-25.815378209379382,31.467785158411306,28.15,840.515923023224,688.25614009962,NA,-0.082,0.42116507654078356
GHSL_18,0,0,129,71,0,0,0,0,0,0,1,4402300.0,-25.830497546546873,31.485161836231388,27.07,1005.21355628967,703.103880791277,NA,-0.353,0.24706438238389497
GHSL_19,0,0,41,116,1,0,1,0,0,0,2,11226000.0,-25.844224221605444,31.337094983436845,18.03,790.297056913376,741.089614207009,NA,-0.048,0.11604740455148449
GHSL_20,0,0,26,101,1,0,0,0,0,0,0,0.0,-25.85724080944491,31.501207673244487,24.23,640.055704593658,804.31439998801,NA,0.01,0.24706438238389497
GHSL_21,0,0,14,91,1,0,0,0,0,0,0,0.0,-25.876080545990547,31.488977838792923,22.24,532.765563249588,710.993978913807,NA,0.098,0.24706438238389497
GHSL_22,0,0,22,151,3,0,1,0,0,0,1,2983800.0,-25.891462374308578,31.509479674319355,20.4,878.529095411301,724.480988228201,NA,0.105,0.24706438238389497
GHSL_23,0,0,19,102,1,0,0,0,0,0,0,0.0,-25.90879957323731,31.503473251048046,18.52,613.034779787064,793.880833705081,NA,0.059,0.24706438238389497
GHSL_24,0,0,300,316,0,0,0,0,0,0,0,0.0,-25.92744036708229,31.709420643152463,16.91,3080.9119207859,633.322946071,NA,-0.231,0.42116507654078356
GHSL_25,0,0,16,186,6,0,0,0,0,0,0,0.0,-25.92852369922233,31.616177189646763,16.29,1038.32637619972,643.395156605958,NA,0.185,0.4247647595958724
GHSL_26,0,0,2,123,22,0,1,0,0,0,0,0.0,-25.95031610930222,31.132343868441872,10.83,728.946585655212,874.288267193451,NA,0.449,0.46908512098284477
GHSL_27,0,0,0,117,351,0,2,1,0,0,0,0.0,-25.95992087583746,31.251128962799907,2.65,2349.63053226471,1166.12809182974,NA,0.965,0.46908512098284477
GHSL_28,0,0,33,288,6,0,0,0,0,0,1,5859500.0,-25.96459574936135,31.649259956599373,12.47,1636.86234140396,650.429553063483,NA,0.142,0.4247647595958724
GHSL_29,0,0,3,142,18,0,0,0,0,0,1,7342800.0,-25.95328154076126,31.567913175379083,13.21,810.817720890045,709.650014782633,NA,0.392,0.4247647595958724
GHSL_30,0,0,1,95,21,0,0,0,0,0,0,0.0,-25.98452681922816,31.97795443141624,17.93,581.031249046326,710.228019183734,NA,0.485,0.44591108553175557
GHSL_31,0,0,1,109,32,0,0,0,0,0,0,0.0,-26.000689076484708,31.75989434345344,9.7,710.286820650101,876.58888002382,NA,0.535,0.30913658472830435
GHSL_32,0,0,47,131,1,0,0,0,0,0,0,0.0,-26.02052450650489,31.26752653938206,0.1,895.289849758148,566.043119776575,NA,-0.051,0.46908512098284477
GHSL_33,0,0,58,135,0,0,0,0,0,0,1,5044000.0,-26.037443357098567,31.6039726170632,4.16,970.794260978699,517.881643651291,NA,-0.084,0.21301596209957513
GHSL_34,0,0,0,6,149,0,0,0,0,0,0,0.0,-26.028612565083183,31.81478232699631,7.08,826.596813440323,1071.43593444974,NA,1.298,0.30913658472830435
