cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std,pv (kW),battery (kWh),capital_cost (k€),o_and_m_cost (k€),battery_replacement_cost (k€),lcoe (€/kWh),salvage_value (k€),demand_year1_kwh
GHSL_1,25,104,1,0,0,0,0,0,0,0,0,0.0,14.5278028901372,40.129199988130885,70.97,645.686456680298,2285.01722267547,AY,-0.857,0.3224127103534953,7.038355,50.346859,41.04332767515324,7.505582655975737,10.118920798971573,0.9695699299690752,0.0107771395529783,6445.261580996166
GHSL_2,2,109,17,0,0,0,0,0,0,0,0,0.0,14.400649042927306,37.7934607732851,1.69,635.129745483398,3182.43090804912,,-0.454,0.4377918873779926,30.727286,69.099507,80.0409328744541,11.999698274887589,29.925913012846458,0.5739591210377039,0.0250812206053533,22634.446454063574
GHSL_3,0,73,43,0,0,0,0,0,0,0,0,0.0,14.37865249440874,39.39789573739138,19.09,582.877310752869,1946.73997953612,,-0.217,0.3281899398299986,44.105318,109.833959,122.9465680214076,18.691761454540508,45.36862192111323,0.511662458837868,0.0376507396757348,38930.16001523295
GHSL_4,0,106,129,0,0,0,0,0,0,0,1,11351600.0,14.3500169406892,38.96720758629018,24.13,1178.10075330734,3540.86030913263,,-0.079,0.3634172540127339,114.920518,752.019859,606.7242050290935,109.60742721047622,136.3440068705693,0.7482302600600681,1.707168284878758,118072.90910248281
GHSL_5,25,152,2,0,0,0,0,0,0,0,0,0.0,14.328331722450445,40.138439547701985,63.33,894.498809814453,2986.79999537355,AY,-0.794,0.3970231403542902,17.9027,33.053708,40.77831707463908,5.99819331863735,14.108106127379797,0.7179103807430234,0.013579779915308,9033.164190859
GHSL_6,0,11,215,12,0,0,0,0,0,0,1,7264300.0,14.124938214301707,37.87910459929902,27.23,1187.27544641495,3316.24512291267,OM,0.389,0.4178721986200402,73.143269,188.635612,187.7441302092857,29.99260521800837,55.95842371987871,0.6708012046316465,3.126145028880644,40992.98979004745
GHSL_7,0,103,41,0,0,0,0,0,0,0,1,2614000.0,14.107695225370518,38.96561750499341,1.06,721.275077342987,2165.47098998135,,-0.287,0.3726616039226374,87.263478,141.008245,180.69076027532276,25.59537834897156,50.22046427443069,0.6241560241747959,2.1186379032474796,42709.23798732805
GHSL_8,0,98,40,0,0,0,0,0,0,0,2,7354600.0,14.000349271374052,39.72693416374967,14.68,689.380264282227,1924.55053588194,,-0.284,0.3340867102693327,44.626325,573.142733,398.233669485392,76.6223407228969,56.367494403607026,1.1681470509988414,2.1351735335438846,46250.22285141238
GHSL_9,0,93,71,0,0,0,0,0,0,0,1,12000000.0,13.973227602626231,38.64750929227961,14.15,822.826031684875,2669.05201594918,,-0.168,0.3051042608270865,74.625258,839.222082,600.2811315622286,114.27488710873985,86.19865107722758,1.1025040137380604,2.9277724808152312,73826.46146628169
GHSL_10,0,153,209,0,0,0,0,0,0,0,2,24000000.0,13.90008589474352,39.86936052532368,29.01,1808.6231803894,4617.20453415268,,-0.057,0.2236631501156358,540.184371,740.312104,990.8313056345726,134.84161926061248,212.79691293967255,0.702299789571394,8.362871031037175,195235.50606735403
