cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std,pv (kW),battery (kWh),capital_cost (k€),o_and_m_cost (k€),battery_replacement_cost (k€),lcoe (€/kWh),salvage_value (k€),demand_year1_kwh
GHSL_1,0,0,28,161,2,0,0,0,0,0,1,5784000.0,11.057014610084575,-0.2742379247795566,2.71,956.247097015381,1418.42752019607,OM,0.451,0.4473046730535358,177.37214,1193.046442,961.8042179192612,173.26020221031706,130.49107750397576,0.9513236202027656,2.318448680967611,139891.70044487686
GHSL_2,0,22,113,1,0,0,1,0,0,0,1,2460000.0,10.922497437139477,-2.6797972714914255,9.1,679.035455703735,1917.85419336761,OM,-0.56,0.2999247228370742,53.521818,118.257483,129.77458029735757,20.04945630045331,34.47818655735903,0.6161905158789903,0.5781656556507435,31095.003847068314
GHSL_3,0,0,96,65,0,0,0,0,0,0,1,5376000.0,10.755912681833372,-1.8918635091118123,11.77,807.899089813232,2394.48455783412,OM,0.065,0.4400486664225458,138.291628,618.153978,540.3373641427137,92.52575427726612,66.65530515726755,1.072758923371638,2.8306928725486267,67724.30485772193
GHSL_4,0,0,9,177,10,0,0,0,0,0,1,2916000.0,10.737252372924829,-1.285733690686014,12.06,975.043598175049,1926.58288515125,OM,0.647,0.4780678343499769,234.080578,669.063916,669.8137877825625,111.64512906910296,146.63890420167726,0.61562216716485,7.415820805622671,158534.6751606649
GHSL_5,0,6,124,8,0,0,2,0,0,0,1,5364000.0,10.726998819075408,-0.2208336305554481,32.05,687.127717971802,1480.94253625545,OM,-0.336,0.289136554725749,96.73438,431.843593,372.2244782548488,62.917501307481054,53.542382232780845,0.9297023178305364,2.1261571129188983,54294.66191167121
GHSL_6,0,3,212,40,0,0,0,0,0,0,1,768000.0,10.705012166450969,-1.8648956015042288,17.23,1273.86900615692,2603.5157333859,OM,-0.163,0.4400486664225458,128.335574,495.505566,468.84694068973295,78.53313510904067,64.61468422572733,1.156541345271907,0.9345483573505804,56079.631796607544
GHSL_7,0,8,186,13,0,0,0,0,0,0,0,0.0,10.612026717157123,-1.9355538417622205,27.25,1030.40503406525,2543.75773705723,OM,-0.321,0.4400486664225458,36.284609,120.203285,118.95106188507692,19.490998005962872,42.297175874301615,0.617245086969685,0.0346754047808182,31189.679335103767
GHSL_8,0,1,122,38,0,0,0,0,0,0,0,0.0,10.581378692006046,-1.936370442980493,30.55,800.148157119751,2788.40726512489,OM,-0.077,0.4400486664225458,92.471985,372.41557,349.84288995511486,59.169462561583856,47.788227267779064,1.1116283827080664,0.470480057592647,43733.97253005097
GHSL_9,0,1,117,23,0,0,0,0,0,0,1,3684000.0,10.472013172695744,-0.504856643022708,30.43,705.016372680664,2609.47076232036,OM,-0.16,0.454051096927745,50.04804,327.310069,257.256483085658,45.662471842560095,39.60886056284802,1.011887912837997,1.3873321269337135,34913.484456052036
GHSL_10,0,0,1,137,33,0,0,0,0,0,2,12624000.0,10.412328845074846,-0.5628457715799768,24.59,856.566569328308,3073.96526609645,OM,0.881,0.454051096927745,356.110003,363.299118,583.9532026303725,78.25872633607759,147.86412255602042,0.5043100559135723,4.875684070343404,166661.74859977874
GHSL_11,0,18,166,4,0,0,0,0,0,0,0,0.0,10.404088795579732,-0.5122741124303809,30.2,940.285746574402,2024.64524907283,OM,-0.462,0.454051096927745,26.181248,113.487244,104.9107859642878,17.74970933878266,33.04181790958303,0.7428393381899188,0.0322956513765152,22325.927944876737
GHSL_12,0,0,106,39,0,0,0,0,0,0,1,4656000.0,10.390661642550942,-2.3318617040473857,27.76,730.50961971283,1310.63677577342,OM,-0.046,0.2512129155155418,69.088909,144.049201,165.42474899970776,24.586491680137225,49.94125777813103,0.5229294238856338,1.1672728144141302,47379.55652876753
GHSL_13,0,1,131,53,0,0,0,0,0,0,1,4428000.0,10.355238218904958,-0.7650485423623051,4.71,920.371505737305,2794.13561187303,OM,-0.031,0.4596075547108745,139.059405,153.516746,233.9240873268187,34.71656109241095,63.45333613825742,0.5604266807861983,4.308094828371137,61105.68171697671
GHSL_14,0,0,14,353,24,0,0,0,0,0,3,9936000.0,10.349765371123016,-0.702387251965427,11.51,1957.60680961609,3565.83327495235,OM,0.68,0.4596075547108745,436.427434,949.889347,1115.8132767769391,167.10105182386155,298.16446637028423,0.5107006212436513,8.442505916757108,325359.4894334097
GHSL_15,0,13,151,5,0,0,0,0,0,0,1,4068000.0,10.348689523454382,-0.5938393109351416,23.04,845.503953933716,3128.34460814926,OM,-0.431,0.4596075547108745,48.884476,124.654466,125.90034389128304,18.94258666896196,32.67080259224562,0.7102628013194991,1.5146329797843103,25291.064945238602
GHSL_16,0,30,245,5,0,0,0,0,0,0,2,17616000.0,10.34614792724593,-1.0361462005726774,23.77,1403.57425403595,2769.70213520394,OM,-0.488,0.4596075547108745,178.688153,182.012082,264.5375924268918,36.59038067064878,58.570315127515606,0.6847322320217242,7.366049776971506,50020.329670442334
GHSL_17,0,5,106,7,0,0,0,0,0,0,1,3396000.0,10.324116922490049,-1.1429581897091483,34.73,590.470151901245,2330.09806993112,OM,-0.328,0.2732310571101342,32.216062,211.483696,161.79253997851436,28.53642529524111,26.001464937255236,1.0514399775668402,1.2546602049914928,20867.38629960162
GHSL_18,0,9,137,6,0,0,0,0,0,0,0,0.0,10.30800456599083,-1.011633190655425,20.23,760.842230796814,3002.06056974753,OM,-0.386,0.4596075547108745,37.749746,80.358293,92.65285941857331,14.117378836070792,28.179872865538325,0.7087608941435422,0.0288265409603333,20280.570085814066
GHSL_19,0,42,166,1,0,0,1,0,0,0,0,0.0,10.279257161303647,-0.8258773903511744,0.37,1046.91811180115,2636.70140182027,OM,-0.606,0.4596075547108745,27.974735,385.805457,284.5754812732438,55.42458668932166,45.25711380975273,1.1570755926823968,0.068248533735649,35465.942620370835
GHSL_20,0,28,172,3,0,0,0,0,0,0,0,0.0,10.285328649663985,-0.7477678374316508,8.49,1016.25767230988,2455.01331630207,OM,-0.534,0.4596075547108745,50.83977,94.47319,116.89477174356075,17.1173995579351,33.19261435976363,0.7847754117846213,0.0400233426869374,22693.35915097007
GHSL_21,0,17,197,7,0,0,0,0,0,0,0,0.0,10.28175075456796,-0.5662802002871954,27.81,1103.14001941681,2511.15425457279,OM,-0.427,0.4596075547108745,64.607808,109.767294,139.9701193221968,20.334208494809804,39.28569532731283,0.757337599015606,0.0458797365580474,28070.419699028756
GHSL_22,0,2,113,15,0,0,0,0,0,0,1,3888000.0,10.279722370728631,-0.9955334694460448,18.23,649.503687858582,2745.80495746492,OM,-0.224,0.4596075547108745,63.043793,91.674422,121.7910119734523,17.417280524191174,32.36171682700761,0.6181572454297286,0.9148429863910508,28352.580186961775
GHSL_23,0,1,133,44,0,0,1,0,0,0,2,14148000.0,10.27307819425847,0.208435874837627,88.79,891.17339849472,1551.31287338235,OM,-0.065,0.3733247062695037,186.736297,244.773968,331.6491013311794,45.27687742719972,73.8390711159283,0.5773479990909167,6.151383870571187,78189.60891943179
GHSL_24,0,16,123,2,0,0,0,0,0,0,1,3312000.0,10.274460614174686,-1.073444727162129,26.75,705.072609901428,2529.09998386359,OM,-0.493,0.2732310571101342,38.170136,76.605265,87.65259881655658,13.051973871299932,25.70440570997905,0.6665815242761655,0.5009628545193339,19221.11500804068
GHSL_25,0,3,183,25,0,0,0,0,0,0,2,18384000.0,10.254484512892358,-1.739242718824308,64.52,1057.92290687561,2845.74534607541,OM,-0.215,0.4400486664225458,191.162718,235.099073,299.2279907582372,44.9832146487463,62.20300624117627,0.657632142929054,14.047030239712326,58555.8182439144
GHSL_26,0,8,176,11,0,0,0,0,0,0,0,0.0,10.238012503721231,-0.7110933757295573,12.83,975.065994262695,3297.31665374666,OM,-0.336,0.4596075547108745,65.856921,104.454289,138.49670125474165,19.703173586355064,37.8526027471404,0.7327613877633612,0.0457870358263466,28497.565348139426
GHSL_27,0,1,110,25,0,0,0,0,0,0,2,5784000.0,10.198879820921064,-1.9068302629477791,59.75,679.32120513916,2436.15278873646,OM,-0.13,0.3222957829317072,84.215092,189.543208,207.57641014996693,30.711192828290255,40.953246250281815,0.7503340112910923,1.64617514606713,37838.90941350786
GHSL_28,0,20,218,6,0,0,1,0,0,0,2,10860000.0,10.198841331758311,-1.5369476392971098,66.04,1223.18157196045,2731.23048333248,OM,-0.444,0.2732310571101342,121.072037,209.150691,243.8748716670787,38.6298120802633,61.79645224523399,0.6254468776944403,4.581147554253661,54908.5820137342
GHSL_29,0,0,27,215,4,1,1,0,0,0,4,7728000.0,10.172745281851393,-2.5426659089686376,5.61,1230.80465221405,1693.48976481943,OM,0.509,0.3132857063180689,409.251387,481.415265,733.0750118456505,99.12609970713376,181.1670198562528,0.5202861751098211,4.063056896709451,204565.89713100207
GHSL_30,0,50,474,12,0,0,0,0,0,0,0,0.0,10.163647053716833,-0.8029864562526737,0.14,2680.98954963684,3822.16056221598,OM,-0.462,0.4596075547108745,122.163603,264.166562,303.8354139527031,46.28007146325571,92.54093322700916,0.7350813755001937,0.1023578949759249,64140.2058626482
GHSL_31,0,14,108,2,0,0,0,0,0,0,1,3276000.0,10.141520889609088,-1.602400417788391,73.26,620.12767791748,2445.68416910191,OM,-0.49,0.2732310571101342,35.957524,68.164037,78.78485178466896,11.5991272326385,23.052354037670224,0.654888140913079,0.7649363189308868,17436.910303173776
GHSL_32,0,18,201,6,0,0,0,0,0,0,1,4572000.0,10.115297794324851,-1.2922312797779874,51.82,1126.02940750122,2960.3411779164,OM,-0.439,0.2732310571101342,32.566712,424.485851,288.5166136191266,55.02603364780876,44.53886414946211,1.2247896959578692,2.025277410748766,32335.173004282384
GHSL_33,0,13,187,8,0,0,0,0,0,0,0,0.0,10.113680444211106,-2.0362003331109895,45.05,1038.0309753418,2274.09921746626,OM,-0.396,0.3222957829317072,47.018168,109.375394,123.8104406751672,18.865189575161203,38.46127421458987,0.6998717531301194,0.0400815362377986,27567.145875088423
GHSL_34,0,24,102,1,0,0,0,0,0,0,1,3000000.0,10.062035940377738,-1.3117553276500056,53.28,636.685301780701,2429.41040233179,OM,-0.596,0.4473046730535358,32.11882,64.559873,70.7134915806049,10.845842725675976,21.93172564511188,0.6430179448043795,0.7167710773334185,16210.678631235705
GHSL_35,0,5,150,12,0,0,0,0,0,0,0,0.0,10.065724556820804,-1.282281014744443,50.42,835.604392051697,2824.14635960985,OM,-0.306,0.2732310571101342,35.62573,207.690174,178.14089945757874,31.49554307950122,34.91701486572597,0.9909068924055864,0.0469211603918407,26287.97075049358
GHSL_36,0,3,117,11,0,0,0,0,0,0,1,2076000.0,10.049245969186927,-1.3039042538463466,51.97,658.958683013916,2687.806151807,OM,-0.272,0.4473046730535358,52.686566,125.626107,138.13692899856514,20.76474072780961,29.32275957561947,0.818639388359309,0.6727480153348303,23842.2409804478
GHSL_37,0,2,153,24,0,0,0,0,0,0,0,0.0,10.03017573103218,-1.2567643346774722,46.4,895.697158813477,2583.82876004522,OM,-0.194,0.3175832947536415,59.943574,117.191163,139.91038381121072,20.999624381168964,43.33721287991758,0.6037475844819108,0.063537023166112,36030.06685686861
GHSL_38,0,9,198,12,0,0,0,0,0,0,1,5220000.0,10.031716923805735,-1.242126430849244,44.93,1096.77751970291,2702.56309970241,OM,-0.342,0.4473046730535358,55.906127,363.773035,281.69913012932466,49.71264273038254,47.00813692931872,1.0444456466407004,1.933294435512061,36980.8745679306
GHSL_39,0,1,149,53,0,0,0,0,0,0,0,0.0,10.015473345333165,-1.3195253058477097,52.3,1016.99131298065,2505.89225552102,OM,-0.052,0.3175832947536415,111.875927,258.447973,297.2608155113818,44.581224599661965,63.81561668778084,0.7361992765250317,0.3405955473578516,58654.175941299516
GHSL_40,0,2,117,15,0,0,0,0,0,0,2,7248000.0,9.98530953168854,-1.92723724592511,57.27,670.245750427246,2642.09141606451,OM,-0.232,0.3222957829317072,30.912835,365.136376,249.81622479675332,47.43827011010743,37.12324608473557,1.045006093953391,1.9663517739811909,31914.443252911944
GHSL_41,0,0,8,143,7,0,0,0,0,0,5,14760000.0,9.97916682777118,-2.3187499760150363,14.36,791.384393215179,1282.03430686354,OM,0.628,0.3222957829317072,193.330534,373.959607,436.20682804859695,62.63748183245867,125.8136943618705,0.4636886830225846,2.758031956469176,138866.5725645576
GHSL_42,0,7,233,21,0,0,1,0,0,0,0,0.0,9.980864150311897,-0.8237457845695928,0.12,1306.34213256836,3767.97578445774,OM,-0.282,0.3829950525751296,97.291446,175.598273,219.10410247978487,32.04157725224911,64.95085991605067,0.5955282392133857,0.0734284544912373,56534.808191514574
GHSL_43,0,3,148,19,0,0,0,0,0,0,0,0.0,9.971774052263733,-0.6910563512463062,14.42,848.431809425354,2640.39177857315,OM,-0.23,0.3943607450700039,33.380474,140.768465,130.00134438031142,21.90353505172472,38.984856824593855,0.6482948193750734,0.7495883171381625,31246.45230990976
GHSL_44,0,22,102,1,0,0,0,0,0,0,0,0.0,9.965507788613944,-0.5029890236957066,34.97,625.699491500854,2845.95140228538,OM,-0.578,0.3943607450700039,19.98462,106.630328,93.6304198026933,16.30637857056308,19.378345238656983,1.065187148601788,0.0266341611525318,12931.039824852038
GHSL_45,0,1,247,113,0,0,0,0,0,0,0,0.0,9.93775885897131,-0.547881930590833,30.5,1802.2654132843,3805.52334770077,OM,-0.007,0.3943607450700039,252.949704,296.718696,444.80509591920816,68.67793688049231,122.43673893974884,0.5732861513939741,8.347022450660287,116625.10966173401
GHSL_46,0,4,209,30,0,0,0,0,0,0,0,0.0,9.931216835870757,-0.5104379875379308,34.66,1214.73035335541,3419.59155689157,OM,-0.208,0.3943607450700039,88.434603,146.439154,185.84769608178232,29.124130805548855,56.463557165381694,0.6152785145986365,2.108865050064773,46634.44438407548
GHSL_47,0,76,66,0,0,0,0,0,0,0,0,0.0,9.90499635865878,-0.8566648120766498,0.46,713.116325378418,4684.0356623474,OM,-0.885,0.3829950525751296,10.245215,114.122654,86.49905612400627,16.564490220594113,17.258124042438304,1.1639925374305586,3.041951676179419e-06,11012.681630981358
GHSL_48,0,3,119,14,0,0,0,0,0,0,0,0.0,9.89680292788984,-0.8357577804753565,1.98,677.91893196106,3339.63373906883,OM,-0.246,0.3829950525751296,45.794947,91.255214,107.57089581494093,16.264162786360977,29.602426481420327,0.6770419496125015,0.0416003114886745,24137.793581132413
GHSL_49,0,4,217,31,0,0,0,0,0,0,0,0.0,9.893357890767044,-0.7218304419345251,13.78,1256.77802562714,2857.50865277101,OM,-0.209,0.3943607450700039,42.530472,470.590554,356.12170228514225,68.33228410449951,60.51103897156116,1.0698419253299836,0.0003499923233578,48293.639012116146
GHSL_50,0,0,84,249,1,0,1,0,0,0,0,0.0,9.883179655048538,-0.6223602181412609,24.37,1671.18609237671,3799.54123592575,OM,0.341,0.3943607450700039,336.688536,521.668897,705.669225857135,99.2019471753551,207.38250577698713,0.4836734500161517,0.461607005686603,222863.25138127588
GHSL_51,0,2,140,26,0,0,0,0,0,0,0,0.0,9.874352799479816,-0.1885760347610289,46.95,841.065008163452,2687.25460540493,OM,-0.165,0.419655595990569,38.618971,161.515349,148.3849994023839,25.267717788476787,42.84055720312125,0.6410147161527104,0.4788305654958188,35901.635227770115
GHSL_52,0,3,156,21,0,0,0,0,0,0,0,0.0,9.856171076830584,-0.3988990571261759,45.98,900.297261238098,2876.50530935577,OM,-0.219,0.3943607450700039,60.705949,107.652018,132.9232779855707,20.466583101057935,41.08581459718543,0.6118969425029811,0.9110393870689328,33701.3401758631
GHSL_53,0,8,238,20,0,0,0,0,0,0,1,2472000.0,9.80781200934695,-0.4461173390292248,40.89,1330.60297584534,3657.71338678689,OM,-0.294,0.419655595990569,50.346654,207.925281,188.4445203031967,31.056316527462165,56.78225832410783,0.643745179453169,3.418655502510979,44484.37802110294
GHSL_54,0,29,108,1,0,0,0,0,0,0,0,0.0,9.79770997243592,-0.3626719658106568,39.35,691.653872489929,2636.99788402037,OM,-0.618,0.419655595990569,17.095299,60.44225,58.95465927859889,9.708102648989952,21.133936463683938,0.6863010729335989,0.0166801178231124,13936.844369250375
GHSL_55,0,1,153,53,0,0,0,0,0,0,0,0.0,9.755209382866347,-0.8182296886296527,0.65,1034.07664871216,4364.37117496775,OM,-0.059,0.3829950525751296,101.57465,199.255333,234.6604420336263,37.292994588245584,64.09150391585726,0.5999855643471208,5.252261450706662,58737.37405296985
GHSL_56,0,10,264,21,0,0,0,0,0,0,0,0.0,9.74466726658577,-0.8237539751276551,0.32,1471.17068099976,4457.84981728195,OM,-0.304,0.3829950525751296,79.911061,161.038045,188.65035731718365,29.155745646893337,59.22064064529336,0.644052906778644,0.6523450569025347,45716.78744439348
GHSL_57,0,69,85,0,0,0,0,0,0,0,0,0.0,9.690753646773596,-0.6631612505375675,16.98,769.283996582031,3029.98935201084,OM,-0.819,0.4473046730535358,21.225687,54.246468,58.27087563854358,9.179693614332017,19.41818094612663,0.7280062512019403,0.0484584304706846,12705.31893073303
GHSL_58,0,35,129,1,0,0,0,0,0,0,0,0.0,9.683560505234796,-0.7828391601107962,3.83,828.954177856445,3159.57985125087,OM,-0.62,0.3829950525751296,25.032311,73.505806,75.60049934253826,12.114034138731498,24.846494778642366,0.7254365489051715,0.1364103349590364,16510.545662738386
GHSL_59,0,6,121,7,0,0,0,0,0,0,0,0.0,9.68155081617251,-1.3782968958470194,51.19,672.421328544617,2407.47563224064,OM,-0.348,0.3175832947536415,39.523891,97.577745,109.18418537893564,16.640232738806393,25.32541158200802,0.8498031071920409,0.0940230311802649,18937.32133547673
GHSL_60,0,1,123,44,0,0,0,0,0,0,0,0.0,9.67157001447493,-0.9399810274117534,13.39,835.26767539978,2990.44679569721,OM,-0.052,0.3829950525751296,63.632451,200.329878,200.68112820151288,31.799509197937994,52.146545947202746,0.6204321389390131,3.123833405147757,48338.00469877581
GHSL_61,0,14,287,17,0,0,1,0,0,0,3,11220000.0,9.66829169732111,-0.7168034786655839,11.1,1586.54891395569,4463.01679369118,OM,-0.347,0.2961719095306658,119.445584,279.343447,289.79131344233434,44.83012826797039,79.48477663547033,0.591414142144515,4.338095820122926,70758.84833989327
GHSL_62,0,13,110,2,0,0,0,0,0,0,0,0.0,9.667657652893508,-0.916416935338225,10.81,629.215396881104,3097.50805805521,OM,-0.484,0.3829950525751296,31.248592,57.007516,70.69487380762122,10.375039540725885,20.26124990180638,0.7638541518695753,0.0229777048367823,14129.719236289713
GHSL_63,0,7,131,7,0,0,0,0,0,0,0,0.0,9.66765930349124,-0.844390627907412,2.9,726.653665542603,2960.42331636873,OM,-0.364,0.3829950525751296,40.340616,74.842511,93.37239077259872,13.546462401632478,26.877792794152604,0.7098170500920284,0.0914791888343738,20067.866430537066
