cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std,pv (kW),battery (kWh),capital_cost (k€),o_and_m_cost (k€),battery_replacement_cost (k€),lcoe (€/kWh),salvage_value (k€),demand_year1_kwh
GHSL_1,0,0,104,67,0,0,0,0,0,0,0,0.0,-16.834351231445094,29.71744277163648,28.85,857.074890136719,4345.51639762675,,0.227,0.5424549343466735,66.546113,117.491237,126.0285576635474,19.18247675271615,29.194162888560935,0.6962844770299272,5.043974779900068,23658.035318755363
GHSL_2,0,0,90,114,0,0,0,0,0,0,0,0.0,-17.370530268697763,30.078045469978903,1.79,1024.44962263107,3907.01131403723,,0.353,0.1414213562373095,177.986334,286.039065,377.9701295335002,53.87734416575733,98.95905444393884,0.6014665652352004,0.85029981862941,93870.24445842528
GHSL_3,0,6,110,6,0,0,0,0,0,0,0,0.0,-17.37847755970888,30.38380454296844,11.62,609.420158147812,1487.47902891826,,-0.197,2.191636128532841e-09,33.847319,49.968837,67.94774710368223,9.62725738297552,21.53599146297545,0.7242898425137524,0.0358269027726917,14573.097351811377
GHSL_4,0,2,196,48,0,0,0,0,0,0,0,0.0,-17.393025027381135,30.175440186734793,4.55,1227.79247665405,3655.09068316514,,0.053,0.0329089651631416,107.032668,149.534629,210.708450410296,29.23359926056536,65.64696506086968,0.6068133728271389,0.0742455242593179,53638.48531488649
GHSL_5,0,0,0,89,72,0,0,0,0,0,0,0.0,-17.81929764587226,31.206878486643134,2.18,802.709067106247,3777.02785147205,,1.271,0.5424549343466735,275.348275,384.759527,548.7984737896566,75.19177081503663,152.51195938249094,0.5313746625885306,0.2910140102962411,155624.6887495019
GHSL_6,0,0,3,316,70,0,0,0,0,0,0,0.0,-17.831525365851945,30.993228994060843,1.8,1943.12586307526,4029.35772392745,,1.036,0.5424549343466735,691.818928,1203.790462,1500.481424545635,219.57711585731076,321.7398203770618,0.667562384601456,8.699877203892472,324463.6114874297
GHSL_7,0,0,10,99,3,0,0,0,0,0,0,0.0,-18.029471924969844,31.05805599655437,1.76,560.422101974487,5279.77862334059,,0.71,0.5424549343466735,149.160549,197.055325,284.97071170478495,39.17754113209217,79.63164433115423,0.5432353208150997,0.0978077544516123,79168.22721472367
GHSL_8,0,24,141,2,0,0,0,0,0,0,1,4956000.0,-18.33229839642893,26.47318634444791,0.52,834.057236671448,2224.74589669631,,-0.37,0.5424549343466735,53.944694,125.100369,128.05151036377296,18.747755046829777,28.48399024526405,0.8490027478309948,3.776302412360638,20171.444530123106
GHSL_9,0,1,104,31,0,0,0,0,0,0,1,12000000.0,-18.877155795032735,32.649943629955175,12.83,677.428010940552,1462.91259802135,,0.083,0.041012195163281,65.829379,452.339633,321.88587251981016,57.97639680535657,52.23809928185138,0.9523859081618472,3.9513723734568913,44625.1889537561
GHSL_10,0,0,36,96,0,0,0,0,0,0,0,0.0,-18.89876109450878,29.808126926941785,9.34,662.662115097046,3021.42574170757,,0.492,0.2472697582263818,52.377782,106.789791,118.18725811162588,17.710624298367623,25.541675751285705,0.6113216066529162,1.0138284930467625,26434.565230305907
GHSL_11,0,0,75,130,0,0,0,0,0,0,0,0.0,-19.958498035003977,32.350879349936555,108.81,1024.80233478546,2227.87959474219,,0.412,0.4044589042785627,83.288341,1089.779313,804.5100865440429,156.91520871664636,114.16327675736258,1.095352077978357,0.1905389094548932,104595.96717375865
GHSL_12,0,0,29,113,1,0,0,0,0,0,0,0.0,-20.209944568455757,28.678039823935418,0.52,715.828333377838,2277.80747713003,,0.559,0.1803208224052895,217.149423,249.960337,379.3939839547878,55.974363560286776,89.68699461531044,0.623504521539324,4.8081158052174855,88893.41791676021
GHSL_13,0,0,1,136,45,0,0,0,0,0,0,0.0,-20.283123151863816,30.046756328326072,44.3,909.035126686096,3527.54845510251,,1.105,0.5424549343466735,161.443351,1018.699009,841.5128558173454,153.41077998935862,160.86293965092702,0.7794811027380528,0.2200457274204163,157938.78842821246
GHSL_14,0,0,10,134,5,0,0,0,0,0,0,0.0,-22.190781906396005,30.00403127743188,1.86,741.484212875366,4055.15019346659,AY,0.757,0.171826947828331,107.138085,1271.53991,951.383151157506,183.88342267152,121.63354281088682,1.109169708351006,0.2324663645564831,120704.0587501091
GHSL_15,0,3,151,18,0,0,0,0,0,0,0,0.0,-17.34090552770822,31.362272614657424,1.69,863.122879743576,2106.20517262952,,-0.065,0.5424549343466735,28.472559,200.310707,166.13382610325655,29.90328846247816,36.85355964903768,0.9154545382488116,0.0501708061520483,27096.99844110525
GHSL_16,0,0,41,159,1,0,0,0,0,0,0,0.0,-17.361854212663918,30.16676716054354,0.97,1006.86325836182,3233.63455404409,,0.557,0.5424549343466735,234.479567,311.060346,449.8345988629025,61.76627240118513,127.26564677208802,0.5458443164554669,0.1536480777000262,124662.63815271964
GHSL_17,0,0,0,85,44,0,0,0,0,0,0,0.0,-17.754677408100402,31.163518834045977,8.17,645.887309551239,2257.0845315601,,1.188,0.5424549343466735,234.614462,405.712909,508.4006347338336,72.77829796652591,116.6179812158478,0.6237530625402418,5.945425348752218,118167.9298954587
GHSL_18,0,0,13,683,86,0,0,0,0,0,1,12000000.0,-17.87059974571269,30.988326595551772,2.31,3912.30054616928,3469.16347990069,,0.943,0.5424549343466735,1361.786326,2520.220654,3028.24942820907,450.4029161007995,627.834129798914,0.685341515538067,9.900384459068166,633547.9150244208
GHSL_19,0,0,2,138,24,0,0,0,0,0,1,4980000.0,-17.757419221781205,31.02843439931443,9.55,819.503175258636,3855.10676303363,,0.998,0.5424549343466735,267.040593,430.64068,554.3976978216843,79.78496147248445,136.79020680177035,0.5816986704202946,6.493948748868903,138655.95246044383
GHSL_20,0,0,1,225,72,0,0,0,0,0,0,0.0,-17.77982376906123,31.076254358879403,8.58,1489.74133396149,4237.42016896159,,1.1,0.5424549343466735,500.39686,705.84591,996.7211443851842,137.59765106010164,254.83298160838785,0.5730340543734392,0.4534306612214325,258182.57327415425
GHSL_21,0,0,601,724,1,0,0,0,0,0,1,10788000.0,-17.943705382116406,31.04900922279431,8.63,6631.07895588875,1040.76353234254,,0.344,0.3618132554032961,862.505175,2605.741461,2643.869061837783,410.9319280085035,650.4687838741778,0.6334277237723858,56.30292148249389,610784.1539340606
GHSL_22,0,0,0,208,141,0,0,0,0,0,0,0.0,-17.932038488530324,31.005677968998125,7.88,1749.23963165283,1878.34585569841,,1.239,0.5424549343466735,485.326968,1296.581556,1379.445060508189,209.6791043294717,325.0327440259382,0.608891102977378,27.173729692345187,330162.57217949955
GHSL_23,0,0,292,1093,8,0,0,0,0,0,3,36000000.0,-17.909669763849184,30.933571279666683,2.95,6962.85522532463,2360.8472788137,,0.551,0.5424549343466735,1889.233512,3636.523966,4254.773419720214,637.6847084211173,909.5464284016416,0.6815065550231433,12.48112927852878,895242.7268320405
GHSL_24,0,0,0,86,58,0,0,0,0,0,0,0.0,-17.91631792105886,31.020253566103335,7.59,718.784476280212,4189.5343174668,,1.239,0.5424549343466735,200.156228,534.655805,568.8428403291927,86.46640891106456,134.05734622187157,0.608937362125822,11.208125116816628,136142.85893795444
GHSL_25,0,0,203,897,8,0,0,0,0,0,7,36804000.0,-17.943683551964284,25.8165055505282,1.71,5538.3435049057,3704.76414892779,,0.58,0.5424549343466735,569.702177,8162.479515,5853.892817969409,1143.419443294113,783.4899893653126,1.1028975216822958,11.341263626758064,740482.1830870319
GHSL_26,0,0,45,421,10,0,0,0,0,0,0,0.0,-18.322310128490862,29.913732949492204,9.91,2381.8568611145,2837.40170482399,,0.704,0.1103086578651014,723.230417,1193.596682,1546.4271585874874,216.52932411646225,332.9056286626506,0.6663696534994553,9.924347085106708,333492.1183808811
GHSL_27,0,308,1801,25,0,0,0,0,0,0,1,12000000.0,-19.02467319460552,32.58816117636063,6.48,10673.3930740356,3037.11974856654,,-0.37,0.5424549343466735,760.316405,877.834571,1305.8815660487833,176.42764094410597,324.37028865372685,0.9167350426627168,5.868831805999403,206009.19627770572
GHSL_28,0,0,0,66,104,0,0,0,0,0,0,0.0,-20.185482399854788,28.598664802902363,7.23,851.896190643311,5034.24668517745,,1.397,0.5424549343466735,309.174501,654.675905,766.7342310056553,113.97367586263113,173.9235653791256,0.6293127142308529,4.036768941452748,177855.84391845972
GHSL_29,0,0,0,75,34,0,0,0,0,0,0,0.0,-20.116418229414258,28.618769001950156,0.32,541.691226005554,3536.3513429184,,1.163,0.217839715902739,125.87073,687.256283,594.2567450228471,104.86500824064244,98.00578431503016,0.8631455227026494,0.1707265612623662,98367.17593575196
GHSL_30,0,0,533,569,1,0,0,0,0,0,2,24000000.0,-20.18139433929615,32.62889156745287,132.04,5517.88912010193,3701.12097921755,,0.321,0.5424549343466735,664.861822,6319.677678,4739.764107565732,891.8607394705416,548.3430461632389,1.2942758122719669,12.625509472346735,501119.64402293344
GHSL_31,0,0,0,83,100,0,0,0,0,0,0,0.0,-20.189530920829363,32.60824719585489,132.88,915.702917575836,2913.82005325441,,1.345,0.5424549343466735,241.651042,2084.605073,1627.9453284137487,306.7826263595667,186.68464349131008,1.2166376721500711,0.4465336911456264,185725.65503095795
GHSL_32,0,0,1,199,78,0,0,0,0,0,0,0.0,-18.937353609437036,29.784889575870345,8.09,1389.13302087784,3801.67767071111,,1.139,0.5424549343466735,496.947191,669.668713,944.9076557671044,132.3462138840864,240.90652675965097,0.5707826475379821,0.3296425670299253,245973.49698704106
GHSL_33,0,0,1,408,280,0,0,0,0,0,2,20364000.0,-20.10124770801851,28.504182619300327,6.21,3446.53656768799,3532.74819433416,,1.241,0.5424549343466735,1159.724337,2626.197551,2857.5941046896783,445.82932335867525,650.8406211262336,0.6162154701971666,31.276287605708696,672693.3897202665
GHSL_34,0,0,0,86,62,0,0,0,0,0,0,0.0,-17.930904988513166,30.96569714218003,4.6,741.742990970612,3242.84748513811,,1.251,0.3618132554032961,343.14003,489.081414,675.2560469777007,94.3897302257787,136.8820129179578,0.6824896636968889,2.8562150356568092,141063.28141166017
GHSL_35,0,0,1,398,299,0,0,0,0,0,0,0.0,-18.992050537968804,32.60676276941309,7.24,3487.22962284088,3767.67256234659,,1.258,0.5424549343466735,1432.518042,2257.866581,2968.0276063757633,416.53031952066135,654.5933184024757,0.6390636152432931,33.553744430841135,667763.465179922
GHSL_36,0,1,485,377,0,0,0,0,0,0,0,0.0,-19.469164261868062,29.840992392074625,18.96,4313.40155172348,3649.6412902633,,0.261,0.5424549343466735,663.698065,1317.078558,1565.7789592647523,230.08834826745817,353.0599907857422,0.6942554801585555,17.432104303059432,327087.90107172733
GHSL_37,0,0,3,195,28,0,0,0,0,0,0,0.0,-17.895663307749327,30.91348693901021,2.62,1133.22648048401,2311.76352607917,,0.965,0.5424549343466735,268.492289,499.504205,624.8031414131493,90.47961164875258,183.00249743120133,0.5267732714822001,0.2034625348452702,181631.6789858938
GHSL_38,0,0,1,109,34,0,0,0,0,0,2,22548000.0,-18.213006807410963,28.945273748567743,50.05,718.009819984436,2668.04087466115,,1.095,0.5424549343466735,414.407511,385.344589,619.0996158773339,89.0763166529577,141.07701395227792,0.580778874824315,16.662577372430587,146586.3156007474
GHSL_39,0,2,203,39,0,0,0,0,0,0,1,12000000.0,-18.23132443920939,28.95352050832924,48.15,1218.89364862442,3050.42832991626,,0.008,0.5424549343466735,177.07963,198.700899,284.07418750226316,38.6335674458039,69.23547198302717,0.6580973047471463,4.345184645105562,59477.85768792465
GHSL_40,0,0,7,135,8,0,0,0,0,0,4,48000000.0,-18.33649604372389,29.887750516206477,7.52,745.685517787933,3812.29814820007,,0.821,0.5424549343466735,355.301728,572.980378,654.7999021797642,91.8369196131363,156.2955738482168,0.5480848792434951,11.624477621995668,160177.0733815699
GHSL_41,0,0,0,66,39,0,0,0,0,0,1,12000000.0,-20.095724579867426,28.514971428493126,7.34,524.426299095154,2322.60797147443,,1.21,0.5424549343466735,189.129813,391.554595,449.5716310610942,66.40732334358759,106.99236078717196,0.5844602884969484,2.934457336409541,109752.88260432248
GHSL_42,0,0,0,107,84,0,0,0,0,0,1,11484000.0,-20.120937455112447,28.578164334600768,4.52,956.352859973907,2824.3991800862,,1.267,0.5424549343466735,326.382402,650.037829,767.2754058979295,111.74070851038591,191.58520645080864,0.5725809346236375,2.7446312808282993,195561.49606876285
GHSL_43,0,0,138,155,0,0,0,0,0,0,0,0.0,-22.216624055116338,29.980853974279707,0.24,1466.37619590759,3547.88602788117,AY,0.331,0.5424549343466735,162.989906,1545.565651,1190.5401080901738,226.5559553247937,152.94644318303256,1.1349617996769008,0.3925018248521488,147340.12028676775
GHSL_44,0,0,14,563,59,0,0,0,0,0,0,0.0,-20.159537192192808,28.551622182437153,8.67,3178.86924314499,3081.63741929151,,0.915,0.5424549343466735,900.520154,1895.144689,2219.289460138036,330.113349548435,497.280060667995,0.6493019625620672,12.554600986315764,497836.41442068614
GHSL_45,0,0,5,263,34,0,0,0,0,0,0,0.0,-17.015928062391318,30.853434263532673,11.17,1507.54814624786,7982.85698827705,,0.948,0.6075850390241937,496.810454,1033.511587,1232.7475941496564,182.47810448571911,241.1499968007106,0.7337965175841955,0.3983420778341652,240424.20330248654
GHSL_46,0,0,4,93,6,0,0,0,0,0,0,0.0,-20.04669315166385,30.80858465588633,29.45,513.198421478271,3534.7165156781,,0.833,0.5424549343466735,72.77887,737.541419,559.6870162652384,107.84283735140043,81.36861501205817,1.0250993288130503,0.5954561358751587,77769.80019690823
