cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,8,115,5,0,0,0,0,0,0,0,0.0,12.589100079555338,43.19611132010427,110.25,638.914585113525,8472.43220635617,AY,0.256,0.25980762443895633
GHSL_2,1,117,30,0,0,0,0,0,0,0,0,0.0,12.194309578475,42.638446536179295,67.75,741.80260848999,4209.2390059126,AY,-0.456,0.09006664206240715
GHSL_3,0,129,79,0,0,0,0,0,0,0,1,12000000.0,12.150895924396119,42.47617037518552,57.36,1041.3572807312,5639.58122731091,AY,-0.3,0.09006664206240715
GHSL_4,7,95,3,0,0,0,0,0,0,0,0,0.0,11.99416682010407,42.91249984343615,48.59,526.693168640137,4180.6022037555,AY,-0.768,0.35469071162105964
GHSL_5,0,243,161,0,0,0,0,0,0,0,0,0.0,11.977468628821198,43.291077678480725,45.25,2020.3452911377,6330.15613117381,AY,-0.284,0.335111255172648
GHSL_6,0,15,89,1,0,0,0,0,0,0,0,0.0,11.967162071795732,43.27428237196988,43.57,524.375087738037,12486.6076375292,AY,0.115,0.335111255172648
GHSL_7,0,32,71,0,0,0,0,0,0,0,0,0.0,11.853006797630925,42.68630056648729,34.61,518.582710266113,6857.11069150057,AY,-0.057,0.35469071162105964
GHSL_8,0,18,82,1,0,0,0,0,0,0,0,0.0,11.785771490059886,42.863138104419825,28.97,504.373638153076,6000.87612317759,AY,0.074,0.20207990844001483
GHSL_9,0,20,95,1,0,0,0,0,0,0,0,0.0,11.781255665567082,42.864893962365606,28.44,584.494705200195,7726.81215149971,NA,0.074,0.4731449065870655
GHSL_10,0,48,253,3,0,0,0,0,0,0,4,48000000.0,11.782665158426887,42.639492674977504,25.31,1518.14814949036,4515.61020074467,AY,0.094,0.4731449065870655
GHSL_11,0,164,76,0,0,0,1,0,0,0,4,13544000.0,11.759673033216856,42.79217109110566,28.47,1201.25115966797,6804.95314949621,AY,-0.35,0.20207990844001483
GHSL_12,1,100,22,0,0,0,0,0,0,0,0,0.0,11.716663036488756,41.83782185191699,11.88,613.745162963867,8111.42339878766,AY,-0.485,0.4731449065870655
GHSL_13,0,237,280,0,0,0,0,0,0,0,0,0.0,11.673935285558573,42.733558737193064,22.97,2589.91804122925,6417.29612975055,AY,-0.175,0.20207990844001483
GHSL_14,0,101,69,0,0,0,0,0,0,0,0,0.0,11.638964507578928,42.674267959101485,17.6,849.900619506836,5945.31503016261,AY,-0.28,0.20207990844001483
