cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,72,43,0,0,0,0,0,0,0,2,5651200.0,12.081164792981111,-8.931930347045219,53.75,572.340397834778,3408.41113527143,OM,-0.23,0.34530996731287045
GHSL_2,0,79,39,0,0,0,0,0,0,0,0,0.0,12.004655429912784,-11.917155213158365,39.52,587.803692817688,4666.21967784145,OM,-0.265,0.2964779002921262
GHSL_3,0,78,47,0,0,0,0,0,0,0,1,5975500.0,11.982105522231366,-9.82641723407741,75.88,625.529314994812,2327.39505817215,OM,-0.226,0.21259507685422066
GHSL_4,3,108,11,0,0,0,0,0,0,0,0,0.0,11.956525462327965,-12.04213820260288,27.74,607.136672973633,3142.90351839832,OM,-0.534,0.3757201834810791
GHSL_5,6,135,9,0,0,0,0,0,0,0,1,12000000.0,11.925833531199185,-8.948043209333335,38.6,748.618008613586,3564.8476600647,OM,-0.6,0.2958598867189725
GHSL_6,27,97,1,0,0,0,0,0,0,0,0,0.0,11.847921764457178,-9.164889775123262,42.19,622.65931224823,3528.55449725002,OM,-0.899,0.34530996731287045
GHSL_7,7,132,7,0,0,0,0,0,0,0,1,2681600.0,11.845885137935174,-9.057562341379096,39.38,731.672063827515,3348.9507585547,OM,-0.641,0.34530996731287045
GHSL_8,11,126,4,0,0,0,0,0,0,0,0,0.0,11.822314882167055,-10.105334819974377,54.7,703.966383934021,2463.69510294125,OM,-0.713,0.3347320843426148
GHSL_9,0,86,90,0,0,0,0,0,0,0,1,3277600.0,11.814300112147107,-9.081265617193624,39.4,882.128353118896,3748.3412001212,OM,-0.126,0.2958598867189725
GHSL_10,3,163,24,0,0,0,0,0,0,0,1,12000000.0,11.817940249718031,-9.519469120843391,52.34,950.870470046997,4525.70088790583,OM,-0.475,0.22110281579806654
GHSL_11,3,139,14,0,0,0,0,0,0,0,1,3433700.0,11.77634590255765,-9.121567714319145,34.86,781.518095970154,3719.30087314767,OM,-0.532,0.36284803556156947
GHSL_12,1,108,30,0,0,0,0,0,0,0,0,0.0,11.77267718815433,-13.21996175225545,3.38,690.335694313049,4322.83850034785,OM,-0.37,0.6239736142382908
GHSL_13,1,93,26,0,0,0,0,0,0,0,0,0.0,11.771109332546562,-13.208392902071344,2.55,594.360631942749,4159.71327950974,OM,-0.37,0.6239736142382908
GHSL_14,6,148,10,0,0,0,0,0,0,0,1,810100.0,11.755816682937592,-9.175247709839478,31.94,817.566630363464,3353.78928993028,OM,-0.596,0.34530996731287045
GHSL_15,0,55,87,0,0,0,0,0,0,0,1,1164600.0,11.753004118749708,-9.213633570370689,31.65,707.601207733154,3367.12447172569,OM,-0.047,0.34530996731287045
GHSL_16,0,142,70,0,0,0,0,0,0,0,1,3012200.0,11.74745658391581,-9.470350178378284,42.97,1062.46736907959,5745.17860121336,OM,-0.264,0.22110281579806654
GHSL_17,9,217,14,0,0,0,0,0,0,0,0,0.0,11.731824994906075,-8.888700487882035,17.28,1202.59385204315,4768.38184538316,OM,-0.606,0.2958598867189725
GHSL_18,0,29,80,0,0,0,0,0,0,0,0,0.0,11.718263259725706,-9.162471303448754,27.92,546.373118400574,4061.89126918471,OM,0.059,0.2958598867189725
GHSL_19,2,161,34,0,0,0,0,0,0,0,1,9185500.0,11.694010787116037,-9.146919066409561,25.49,985.34624004364,5095.28316739565,OM,-0.415,0.2958598867189725
GHSL_20,13,129,3,0,0,0,0,0,0,0,0,0.0,11.68431081492901,-9.320614918771508,27.64,726.603210449219,3757.30779407406,OM,-0.732,0.4807961876883806
GHSL_21,1,255,112,0,0,0,0,0,0,0,1,8725400.0,11.684238330232668,-9.505297739485586,41.17,1839.20471572876,4557.17946134822,OM,-0.287,0.22110281579806654
GHSL_22,3,123,12,0,0,0,0,0,0,0,0,0.0,11.654053960295986,-9.167611550106587,20.81,692.380263328552,3430.75010568316,OM,-0.548,0.2958598867189725
GHSL_23,1,113,36,0,0,0,0,0,0,0,0,0.0,11.64510605025898,-8.996483907190438,19.64,744.904943466187,3543.36992967623,OM,-0.346,0.2958598867189725
GHSL_24,2,192,38,0,0,0,0,0,0,0,1,12000000.0,11.648041960202997,-9.271332983315821,21.71,1161.31714344025,5311.69508603532,OM,-0.427,0.4807961876883806
GHSL_25,0,10,116,4,0,0,0,0,0,0,1,12000000.0,11.63435433269667,-8.888596303936115,11.23,647.94246673584,3502.41492978341,OM,0.302,0.2958598867189725
GHSL_26,0,85,34,0,0,0,0,0,0,0,0,0.0,11.62183003589362,-8.907827455458431,12.4,595.541526794434,3727.02626443728,OM,-0.303,0.2958598867189725
GHSL_27,1,97,15,0,0,0,0,0,0,0,0,0.0,11.5978714671893,-9.066268438154752,15.71,571.233360290527,4527.68787374629,OM,-0.465,0.2958598867189725
GHSL_28,0,60,61,0,0,0,0,0,0,0,0,0.0,11.595871326727089,-8.766540299579216,2.45,607.417406082153,4513.56412794371,OM,-0.131,0.3526220153567921
GHSL_29,3,322,66,0,0,0,0,0,0,0,1,6303500.0,11.600003138352994,-9.602855216668564,46.37,1956.44273090363,4307.77892776373,OM,-0.421,0.4807961876883806
GHSL_30,0,127,83,0,0,0,0,0,0,0,1,2937400.0,11.59648806736549,-9.577818327079683,43.65,1050.42005443573,4306.42981660195,OM,-0.212,0.4807961876883806
GHSL_31,0,169,111,0,0,0,0,0,0,0,1,8570500.0,11.597198659578947,-9.565340263811615,42.4,1399.71759414673,4379.34532519047,OM,-0.212,0.4807961876883806
GHSL_32,15,205,7,0,0,0,0,0,0,0,1,9092300.0,11.59185432093032,-9.488919498836406,34.45,1138.44782066345,4366.20178899157,OM,-0.687,0.4807961876883806
GHSL_33,0,102,181,0,0,0,0,0,0,0,2,14493900.0,11.589297270978408,-9.21380133953672,13.64,1415.63109397888,5100.2154248905,OM,-0.026,0.4807961876883806
GHSL_34,0,43,76,0,0,0,0,0,0,0,0,0.0,11.5667191238453,-9.176147162901334,11.1,595.544267654419,3371.56741128553,OM,-0.027,0.2958598867189725
GHSL_35,19,160,3,0,0,0,0,0,0,0,0,0.0,11.564939669797354,-9.425534658862585,26.91,914.416867256165,4726.3066646647,OM,-0.759,0.4807961876883806
GHSL_36,0,79,117,0,0,0,0,0,0,0,1,12000000.0,11.548786908701278,-9.09092447223341,10.38,983.010469436646,4328.07836000002,OM,-0.06,0.36284803556156947
GHSL_37,0,3,160,23,0,0,0,0,0,0,0,0.0,11.534981877242286,-9.317357835401861,14.94,929.070258140564,5259.32487682315,OM,0.519,0.4807961876883806
GHSL_38,0,136,66,0,0,0,0,0,0,0,0,0.0,11.537560903512,-9.400759728303523,23.27,1011.07646179199,5463.38813487222,OM,-0.269,0.4807961876883806
GHSL_39,13,158,5,0,0,0,0,0,0,0,1,10201200.0,11.532727524770642,-9.552057061978504,38.94,880.598239898682,3877.03195791357,OM,-0.702,0.4807961876883806
GHSL_40,0,64,59,0,0,0,0,0,0,0,0,0.0,11.530316294112357,-9.283209743337764,11.59,616.969898223877,4074.18346093927,OM,-0.149,0.43153574191379834
GHSL_41,0,22,90,1,0,0,0,0,0,0,1,9739600.0,11.52404304368532,-9.178021418674586,6.4,563.421118736267,3720.57212208795,OM,0.127,0.43153574191379834
GHSL_42,1,110,36,0,0,0,0,0,0,0,1,12000000.0,11.489855232491596,-9.237770120587085,4.93,731.506521224976,4139.96242784121,OM,-0.339,0.43153574191379834
GHSL_43,3,127,13,0,0,0,0,0,0,0,0,0.0,11.491453049806944,-9.286158831799105,9.78,714.205592155457,3858.31834472555,OM,-0.534,0.43153574191379834
GHSL_44,2,122,18,0,0,0,0,0,0,0,1,12000000.0,11.47679547283429,-9.181379772594658,1.16,709.322552680969,3665.33289590315,OM,-0.471,0.43153574191379834
GHSL_45,3,140,15,0,0,0,0,0,0,0,0,0.0,11.476596661863235,-9.943812364578001,74.48,790.206205368042,4268.89278349959,OM,-0.529,0.4807961876883806
GHSL_46,0,59,162,1,0,0,0,0,0,0,0,0.0,11.471517804970105,-9.590779814072551,41.76,1109.39055156708,5732.6327320257,OM,0.054,0.4807961876883806
GHSL_47,2,288,76,0,0,0,0,0,0,0,1,12000000.0,11.471215366679969,-9.525301378067685,34.75,1829.43754196167,4831.72897541576,OM,-0.378,0.4807961876883806
GHSL_48,0,55,140,1,0,0,0,0,0,0,0,0.0,11.46674762258089,-9.328190468730991,13.53,976.940244674683,4003.54293308311,OM,0.041,0.43153574191379834
GHSL_49,8,162,9,0,0,0,0,0,0,0,0,0.0,11.423143690967873,-9.593730658411204,41.49,894.422413825989,7085.09516655568,OM,-0.625,0.36284803556156947
GHSL_50,3,126,15,0,0,0,0,0,0,0,0,0.0,11.41219054864014,-9.112713856096745,4.9,716.638348579407,3547.99562628429,OM,-0.508,0.43153574191379834
GHSL_51,0,41,136,1,0,0,0,0,0,0,4,23143700.0,11.400000156218702,-12.404166601791825,0.38,890.50447177887,2580.62498580431,OM,0.089,0.28543349344386404
GHSL_52,1,178,46,0,0,0,0,0,0,0,1,12000000.0,11.398918674894105,-9.43469508548757,24.09,1124.19144535065,6360.16123758364,OM,-0.382,0.4807961876883806
GHSL_53,2,110,13,0,0,0,0,0,0,0,0,0.0,11.391644037500644,-9.48199379619363,29.28,623.16156244278,2961.44261586209,OM,-0.516,0.2861832182695429
GHSL_54,0,2,130,20,0,0,1,0,0,0,0,0.0,11.37401761569876,-9.169955082640163,3.01,761.519631385803,5654.62480237765,OM,0.527,0.43153574191379834
GHSL_55,2,111,16,0,0,0,0,0,0,0,0,0.0,11.355891948398074,-8.817400331663437,17.78,645.495965957642,2190.8697890834,OM,-0.478,0.19514604068240643
GHSL_56,25,321,11,0,0,0,0,0,0,0,0,0.0,11.347211128495443,-9.255488319354038,6.69,1785.51764583588,7069.39718032972,OM,-0.694,0.43153574191379834
GHSL_57,1,118,24,0,0,0,0,0,0,0,1,5654800.0,11.343396158882108,-9.343433460567281,15.6,717.813175201416,4736.72760819717,OM,-0.422,0.17609834892307155
GHSL_58,1,107,27,0,0,0,0,0,0,0,0,0.0,11.345455362398328,-9.167761552566573,1.9,671.280600547791,6133.38511377918,OM,-0.385,0.36284803556156947
GHSL_59,0,17,170,5,0,0,0,0,0,0,4,6930799.999999999,11.333819876262854,-12.325289944800653,1.63,958.580584049225,3077.27560906067,OM,0.275,0.4408421573267787
GHSL_60,1,103,19,0,0,0,0,0,0,0,0,0.0,11.293781412600575,-8.426738991856933,51.13,614.196249008179,4862.99484567046,OM,-0.442,0.2669205666115833
GHSL_61,8,245,20,0,0,0,0,0,0,0,1,1872800.0,11.150414488178033,-8.574416942074263,50.61,1361.79009246826,4145.3342005029,OM,-0.571,0.3823458668808042
GHSL_62,2,122,15,0,0,0,0,0,0,0,1,2397000.0,11.124443122107074,-13.532868745905683,29.34,697.683429718018,3450.87166487623,AS,-0.504,0.19253254446118961
GHSL_63,4,211,27,0,0,0,0,0,0,0,1,5667700.0,11.070541325532863,-9.324431558260361,2.82,1211.73493862152,5531.11677509869,OM,-0.5,0.1932174469598656
GHSL_64,2,128,17,0,0,0,0,0,0,0,0,0.0,11.043039951708115,-10.736853440318804,4.02,733.034910202026,3782.02006078818,OM,-0.496,0.21903673998424855
GHSL_65,9,165,8,0,0,0,0,0,0,0,1,3687500.0,11.023765745754728,-9.374202291430167,5.03,913.577591896057,3497.12173963128,OM,-0.642,0.2861832182695429
GHSL_66,0,97,39,0,0,0,0,0,0,0,1,1282100.0,10.963947477874436,-11.007524098688842,14.16,685.057842731476,2621.44032521572,OM,-0.301,0.36284803556156947
