cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,45,194,2,0,0,0,0,0,0,0,0.0,-12.234523709482527,49.35521996236843,651.95,1204.19889068604,15945.6413708608,OM,0.209,0.3377621014544795
GHSL_2,5,212,23,0,0,0,0,0,0,0,0,0.0,-12.27452496701216,49.35508550249462,647.53,1200.2170791626,15894.8096829903,OM,-0.449,0.3377621014544795
GHSL_5,10,212,12,0,0,0,0,0,0,0,0,0.0,-12.30167730147628,49.355791376265266,644.53,1168.56569671631,13931.1033113752,OM,-0.547,0.4456772000716687
GHSL_6,0,8,207,16,0,0,0,0,0,0,0,0.0,-12.310231053275594,49.348296646456554,643.56,1152.92500305176,17181.1665929268,OM,0.49,0.4456772000716687
GHSL_7,0,93,113,0,0,0,0,0,0,0,1,12000000.0,-12.320737742489722,49.394200479696586,642.56,1029.77256774902,4721.82131868339,OM,-0.023,0.4456772000716687
GHSL_8,11,152,5,0,0,0,0,0,0,0,1,12000000.0,-12.328415744822264,49.36635313531265,641.61,843.527927398682,7735.66567072633,OM,-0.615,0.4456772000716687
GHSL_9,3,147,19,0,0,0,0,0,0,0,1,12000000.0,-12.415845490960029,49.3431763177193,631.87,846.864974975586,11221.9568670985,OM,-0.423,0.02745177570776768
GHSL_10,2,102,13,0,0,0,0,0,0,0,0,0.0,-12.42528563501673,49.33689388872431,630.8,583.835334777832,11604.757200911,OM,-0.423,0.02745177570776768
GHSL_11,5,411,80,0,0,0,0,0,0,0,1,12000000.0,-12.427739079581356,49.35279142803139,630.56,2478.12642669678,11367.0309926002,OM,-0.355,0.02745177570776768
GHSL_12,3,217,34,0,0,0,0,0,0,0,1,12000000.0,-12.453154098693641,49.37345322280456,627.83,1270.03321838379,11652.5361346134,OM,-0.391,0.02745177570776768
GHSL_13,9,100,3,0,0,0,0,0,0,0,0,0.0,-12.728285311067602,49.644345313183244,599.14,558.416177749634,7408.50650414108,OM,-0.648,0.3377621014544795
GHSL_14,0,51,111,0,0,0,0,0,0,0,0,0.0,-13.09517472643237,48.87967121830285,557.39,813.69474029541,2779.91404415849,OM,0.084,0.40364975427285954
GHSL_15,1,110,19,0,0,0,0,0,0,0,1,8550800.0,-13.092714001013903,48.859585009865754,557.8,652.182075500488,2599.47417394272,OM,-0.38,0.40364975427285954
