cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,136,78,0,0,0,0,0,0,0,3,8280000.0,9.975700324531697,-11.850275074676341,50.0,1071.55314064026,4873.88627392593,OM,-0.049,0.16721051660321898
GHSL_2,0,67,97,0,0,0,2,0,0,0,1,4368000.0,9.956536932032483,-11.808399558707702,48.32,822.50138092041,3890.73500908425,OM,0.124,0.16721051660321898
GHSL_3,3,156,21,0,0,0,1,0,0,0,2,7908000.0,9.93377682133586,-11.284610615168571,76.26,898.769947052002,3664.57763361275,OM,-0.3,0.12855162905550135
GHSL_4,1,162,46,0,0,0,1,0,0,0,2,5796000.0,9.87725813576073,-11.166169731770403,82.93,1049.27710533142,3876.33402785281,OM,-0.177,0.12855162905550135
GHSL_5,10,210,12,0,0,0,1,0,0,0,3,8124000.0,9.85547872709145,-11.321278569893375,67.62,1158.74667167664,4028.937753999,OM,-0.44,0.12855162905550135
GHSL_6,18,184,5,0,0,0,1,0,0,0,4,7752000.0,9.75451615906521,-11.193844804333807,73.81,1033.25921440125,3938.8965256488,OM,-0.544,0.12855162905550135
GHSL_7,0,114,49,0,0,0,0,0,0,0,4,6936000.0,9.674986240816398,-12.2244438471273,17.6,816.897455215454,3328.08102150876,AS,-0.102,0.22105614837638424
GHSL_8,5,165,14,0,0,0,2,0,0,0,1,780000.0,9.630942536924348,-11.329305926770282,54.15,917.810060501099,5163.05268473039,OM,-0.377,0.3107426642799395
GHSL_9,13,155,5,0,0,0,0,0,0,0,3,8508000.0,9.630134090431088,-10.997528783738955,87.84,867.227426528931,3794.39271304032,OM,-0.521,0.17748892514605064
GHSL_10,2,99,12,0,0,0,1,0,0,0,2,5592000.0,9.571172715487611,-11.589336962579416,25.88,564.359013557434,2666.47301468195,AS,-0.322,0.43672891586834506
GHSL_11,3,138,15,0,0,0,0,0,0,0,1,3480000.0,9.539981575187198,-12.26679823536087,2.49,782.704851150513,4622.09077093724,AS,-0.333,0.32363342599937406
GHSL_12,1,122,29,0,0,0,0,0,0,0,2,6048000.0,9.540626454372042,-12.237257784229886,2.88,763.584745407104,4746.50653252631,AS,-0.208,0.32363342599937406
GHSL_13,7,131,7,0,0,0,1,0,0,0,3,8328000.0,9.536873032897768,-11.07718485737181,76.79,722.012886047363,3876.07978594631,OM,-0.441,0.17748892514605064
GHSL_14,1,217,66,0,0,0,1,0,0,0,6,29616000.0,9.532056751769186,-10.958303605694393,89.52,1420.61763381958,3647.45388444031,OM,-0.166,0.17748892514605064
GHSL_15,6,172,13,0,0,0,0,0,0,0,2,7056000.0,9.517242903889768,-12.309586813233818,0.5,954.218048095703,5366.46020015915,AS,-0.391,0.32363342599937406
GHSL_16,0,49,119,0,0,0,0,0,0,0,5,19668000.0,9.502023934508376,-12.2527404559394,1.52,841.394590377808,4731.5079198878,AS,0.221,0.32363342599937406
GHSL_17,1,125,35,0,0,0,0,0,0,0,2,7884000.0,9.501488037926114,-11.596162437634655,21.6,803.22357749939,2634.83302334078,AS,-0.179,0.43672891586834506
GHSL_18,10,107,3,0,0,0,0,0,0,0,1,2796000.0,9.474023855027204,-11.187240442866145,63.7,600.435876846313,5908.17370061709,AS,-0.535,0.3107426642799395
GHSL_19,0,105,53,0,0,0,1,0,0,0,3,15684000.0,9.464623618463941,-10.923727612357062,91.26,788.235250473022,4230.59098140288,OM,-0.075,0.17748892514605064
GHSL_20,5,180,17,0,0,0,1,0,0,0,4,9684000.0,9.45255830608074,-11.254942614121845,56.04,1013.22531700134,4984.97125300775,AS,-0.356,0.3107426642799395
GHSL_21,4,96,6,0,0,0,0,0,0,0,1,1980000.0,9.419437640812095,-12.288859346188222,11.02,532.097518920898,4487.24505752149,AS,-0.414,0.32007278072202305
GHSL_22,1,167,67,0,0,0,0,0,0,0,2,5988000.0,9.41765337593306,-11.146194273659273,67.65,1172.49781990051,4614.31648917951,AS,-0.116,0.3107426642799395
GHSL_23,0,100,61,0,0,0,0,0,0,0,0,0.0,9.399662438660108,-12.036314514681639,11.67,805.72682762146,4323.74990609107,AS,-0.037,0.18018377856095327
GHSL_24,9,346,33,0,0,0,1,0,0,0,4,13344000.0,9.393898326450687,-12.543493545907722,7.6,1945.11407470703,4174.91564741102,AS,-0.357,0.25690408470505566
GHSL_25,4,148,14,0,0,0,0,0,0,0,1,3420000.0,9.381000746474113,-11.19635602705325,62.15,829.267160415649,5438.60203055949,AS,-0.357,0.3107426642799395
GHSL_26,7,90,3,0,0,0,2,0,0,0,3,10200000.0,9.365665309033764,-10.739154994030763,90.51,500.220476150513,3690.35704608524,AS,-0.509,0.17748892514605064
