cat,h_tier1,h_tier2,h_tier3,h_tier4,h_tier5,hospital_1,hospital_2,hospital_3,hospital_4,hospital_5,schools,school_total_demand,lat,lon,distance_grid_km,pop_sum,density,cooling,rwi,rwi_std
GHSL_1,0,0,81,33,0,0,0,0,0,0,1,3031900.0,-8.481974964561967,30.457099523723244,4.89,571.470790863037,2243.17314673825,OM,0.159,0.21184173579337115
GHSL_2,0,30,80,0,0,0,0,0,0,0,1,2848200.0,-8.49109984824727,29.966838843989294,33.3,556.043404579163,2182.6165982853,OM,-0.491,0.2814832036320374
GHSL_3,0,27,99,1,0,0,0,0,0,0,1,2678800.0,-8.529133852078587,29.663517922390504,3.17,633.511503696442,2016.48010038114,OM,-0.431,0.2814832036320374
GHSL_4,0,0,85,54,0,0,0,0,0,0,0,0.0,-8.75020318115737,31.11955841421783,13.65,694.7483086586,3032.21999047931,OM,0.242,0.44219123006014355
GHSL_5,0,5,174,18,0,0,0,0,0,0,0,0.0,-8.777855650686474,31.10788914814914,13.52,982.227388381958,4287.42394370003,OM,-0.076,0.44219123006014355
GHSL_6,0,18,287,13,0,0,0,0,0,0,0,0.0,-8.89367328830172,29.07882890380427,15.55,1587.95879745483,2674.18668842699,OM,-0.193,0.34326081234870276
GHSL_7,0,0,106,43,0,0,0,0,0,0,0,0.0,-9.350734609842752,32.734506107465776,0.49,749.464680194855,2527.53500672756,OM,0.159,0.31651168734010554
GHSL_8,0,1,147,36,0,0,0,0,0,0,0,0.0,-10.54456118510572,32.08269084403262,2.28,922.134761810303,2061.22131154608,NA,0.068,0.46634185548554424
GHSL_9,0,0,1,148,31,0,0,0,0,0,0,0.0,-10.549315885690277,32.058710873834954,2.88,900.479688644409,2735.48324073502,NA,1.044,0.46634185548554424
GHSL_10,0,25,124,1,0,0,0,0,0,0,1,12000000.0,-11.185579713326028,28.717530565422546,15.1,750.791799545288,2621.95580044313,NA,-0.383,0.20518222807646036
GHSL_11,0,4,172,19,0,0,0,0,0,0,1,12000000.0,-11.220620349889874,28.865102786458255,2.47,976.813084602356,3221.76404589288,NA,-0.061,0.20518222807646036
GHSL_12,0,0,35,155,1,0,0,0,0,0,0,0.0,-11.221552969995486,33.15593210903999,0.33,956.586941719055,2770.29076495084,OM,0.598,0.4819505692278844
GHSL_13,0,110,161,0,0,0,0,0,0,0,1,12000000.0,-11.321387489397875,28.85395490217171,13.0,1356.43235301971,3929.64911834067,NA,-0.599,0.20518222807646036
GHSL_14,0,41,97,0,0,0,0,0,0,0,0,0.0,-11.424676133810626,30.112891324758856,48.8,688.163257598877,3144.94030417738,NA,-0.51,0.22769773375198255
GHSL_15,0,82,60,0,0,0,0,0,0,0,0,0.0,-11.424892737241414,28.431768438507806,54.86,709.381143569946,3371.58338198644,NA,-0.731,0.4947302777868709
GHSL_16,0,1,105,27,0,0,0,0,0,0,0,0.0,-11.919805330016203,28.688047884867967,81.62,665.448635101318,3444.35111336086,NA,0.075,0.2562115383446897
GHSL_17,0,0,17,254,10,0,0,0,0,0,0,0.0,-12.300367612455986,27.758732604254103,1.51,1404.11700248718,4523.94161902934,NA,0.793,0.5175355783205442
GHSL_18,0,0,49,89,0,0,0,0,0,0,0,0.0,-12.391998880546714,27.85652042798445,0.54,687.180265903473,2410.11021837331,NA,0.438,0.5175355783205442
GHSL_19,0,27,116,1,0,0,1,0,0,0,0,0.0,-12.487176689700679,28.323092353529077,10.89,718.185533046722,1992.36420620559,NA,-0.404,0.5240802042599538
GHSL_20,0,15,234,10,0,0,0,0,0,0,0,0.0,-12.914053372275593,28.251211244321276,4.31,1298.39166259766,10342.8658350074,NA,-0.2,0.5292529165618814
GHSL_21,0,42,85,0,0,0,0,0,0,0,1,12000000.0,-12.961840622248449,28.214341761064325,3.74,636.892225265503,3805.97720369011,NA,-0.542,0.5292529165618814
GHSL_22,0,0,64,75,0,0,0,0,0,0,0,0.0,-12.976626564805457,28.687859213857006,5.0,699.079106330872,4177.59714551734,NA,0.355,0.5130383759605811
GHSL_23,0,0,91,81,0,0,0,0,0,0,0,0.0,-13.0415159749911,28.70966366829112,3.24,857.965384483337,4274.09824089021,NA,0.304,0.5130383759605811
GHSL_24,0,4,129,11,0,0,0,0,0,0,1,12000000.0,-13.46752200003501,25.001353998072723,61.11,723.257950305939,1767.82902585456,NA,-0.102,0.3297458586989491
