year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,0.0,0.0,-5.487295142575848e-08,0.0,-5.487295142575848e-08,-5.487295142575848e-08,0.0,0.0,0.0,-0.0,0.0,0.0,-1.7147797320549524e-11
2042,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11
2043,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11
2044,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11
2045,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,-1.7147797320549524e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7147797320549524e-11
2046,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.52304381084394,-0.3241985714270728,0.0,42.19884523941686,0.0,0.0,0.0,0.0,113394.78349562956,0.0,113394.78349562956,113394.78349562956,0.0,0.0,0.0,0.0,0.0,0.0,42.19884523941686
2047,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.52304381084394,-0.3241985714270728,0.0,42.19884523941686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19884523941686
2048,scenario_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.52304381084394,-0.3241985714270728,0.0,42.19884523941686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19884523941686
