year,discount_factor,annuity_res,annuity_res_inverter,annuity_battery,annuity_battery_inverter,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9310986964618249,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,14913.90491987647,0.0,0.0,89237.85124394367,83089.24696829019,0.0,83089.24696829019
2027,0.8669447825529095,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15043.259875215095,0.0,0.0,89367.2061992823,77476.43314579783,0.0,77476.43314579783
2028,0.8072111569393944,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15175.689854262037,0.0,0.0,89499.63617832924,72245.10486516402,0.0,72245.10486516402
2029,0.7515932559957116,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15316.91600868012,0.0,0.0,89640.86233274732,67373.4675909329,0.0,67373.4675909329
2030,0.6998075009271058,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15465.797391154329,0.0,0.0,89789.74371522153,62835.53615823448,0.0,62835.53615823448
2031,0.6515898518874355,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15617.045074693755,0.0,0.0,89940.99139876096,58604.63726412776,0.0,58604.63726412776
2032,0.6066944617201447,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15771.042808603142,0.0,0.0,90094.98913267035,54660.130935527726,0.0,54660.130935527726
2033,0.5648924224582352,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15928.152903480262,0.0,0.0,90252.09922754747,50982.726964590314,0.0,50982.726964590314
2034,0.5259705981920254,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,14913.904919876477,0.0,0.0,89237.85124394367,46936.486000148034,0.0,46936.486000148034
2035,0.4897305383538411,25700.746771305287,4362.196940500355,41230.768360797934,2181.3628231646408,848.8714282989879,15043.2598752151,0.0,0.0,89367.2061992823,43765.850003153246,222730.50837634277,43765.850003153246
