year,component,resource,technology_label,active_dc_capacity_kw,active_inverter_capacity_ac_kw,effective_ac_capacity_kw
2026,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2026,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2027,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2027,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2028,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2028,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2029,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2029,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2030,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2030,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2031,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2031,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2032,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2032,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2033,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2033,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2034,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2034,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
2035,renewable_inverter,Solar,Solar PV,301.85408358394216,251.54506965328514,251.54506965328514
2035,battery_inverter,,Battery inverter,,141.51125101030743,141.51125101030743
