section,row_label,year,unit,value,secondary_label,value_secondary
summary_metrics,Net Present Cost (Expected),,,663853.9737880111,,
summary_metrics,LCOE,,/kWh,0.19640302994667702,,
summary_metrics,Investment cost (nominal),,,891732.2352178684,,
summary_metrics,Investment cost (present),,,831975.0388352638,,
investment_summary,Battery,,kWh,325980.4596801597,present_value_investment_cost,303153.34017563687
investment_summary,Battery inverter,,kW,27490.77217171402,present_value_investment_cost,25700.44398939906
investment_summary,Generator,,kW,17821.81355694015,present_value_investment_cost,16668.529185941337
investment_summary,Solar PV,,kW,462612.61316360394,present_value_investment_cost,432402.4226526992
investment_summary,Solar PV inverter,,kW_ac,57826.5766454505,present_value_investment_cost,54050.3028315874
expected_cost_components,Annualized CAPEX,Average yearly,/yr,75931.0565723465,,
expected_cost_components,Fixed O&M,Average yearly,/yr,14656.492663150726,,
expected_cost_components,Fuel cost,Average yearly,/yr,22605.139700758424,,
expected_cost_components,Grid import cost,Average yearly,/yr,0.0,,
expected_cost_components,Grid export revenue,Average yearly,/yr,0.0,,
expected_cost_components,RES subsidy revenue,Average yearly,/yr,0.0,,
expected_cost_components,Lost load penalty,Average yearly,/yr,0.0,,
expected_cost_components,Emissions cost,Average yearly,/yr,0.0,,
expected_cost_components,Embedded emissions cost,Average yearly,/yr,0.0,,
expected_cost_components,TOTAL,Average yearly,/yr,99296.65255459471,,
expected_fixed_om,Renewables,Average yearly,/yr,7421.30249206835,,
expected_fixed_om,Renewables inverter,Average yearly,/yr,515.3682286158577,,
expected_fixed_om,Battery,Average yearly,/yr,5759.193141402642,,
expected_fixed_om,Battery inverter,Average yearly,/yr,245.088052873912,,
expected_fixed_om,Generator,Average yearly,/yr,715.5407481899645,,
expected_cost_components,Annualized CAPEX,2026,/yr,66294.97563758749,,
expected_cost_components,Fixed O&M,2026,/yr,12811.193997519435,,
expected_cost_components,Fuel cost,2026,/yr,10859.6876497356,,
expected_cost_components,Grid import cost,2026,/yr,0.0,,
expected_cost_components,Grid export revenue,2026,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2026,/yr,0.0,,
expected_cost_components,Lost load penalty,2026,/yr,0.0,,
expected_cost_components,Emissions cost,2026,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2026,/yr,0.0,,
expected_cost_components,TOTAL,2026,/yr,77822.40236213098,,
expected_fixed_om,Renewables,2026,/yr,6515.577947191829,,
expected_fixed_om,Renewables inverter,2026,/yr,452.47069077721034,,
expected_fixed_om,Battery,2026,/yr,4998.777089202089,,
expected_fixed_om,Battery inverter,2026,/yr,215.26838403068382,,
expected_fixed_om,Generator,2026,/yr,629.0998863176221,,
expected_cost_components,Annualized CAPEX,2027,/yr,66294.97563758749,,
expected_cost_components,Fixed O&M,2027,/yr,12811.193997519435,,
expected_cost_components,Fuel cost,2027,/yr,13477.053302329403,,
expected_cost_components,Grid import cost,2027,/yr,0.0,,
expected_cost_components,Grid export revenue,2027,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2027,/yr,0.0,,
expected_cost_components,Lost load penalty,2027,/yr,0.0,,
expected_cost_components,Emissions cost,2027,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2027,/yr,0.0,,
expected_cost_components,TOTAL,2027,/yr,80439.76801472479,,
expected_fixed_om,Renewables,2027,/yr,6515.577947191829,,
