year,component,resource,technology_label,active_inverter_capacity_ac_kw,peak_dispatch_or_power_kw,peak_utilization_pct,renewable_inverter_clipping_potential_kwh
2026,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2026,renewable_inverter,Solar,Solar PV,237.2409664206937,180.88304853438285,76.24444094264365,69064.02313934016
2027,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2027,renewable_inverter,Solar,Solar PV,237.2409664206937,183.73899853438286,77.4482591714632,69064.02313934016
2028,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2028,renewable_inverter,Solar,Solar PV,237.2409664206937,186.73774603438284,78.71226831172375,69064.02313934016
2029,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2029,renewable_inverter,Solar,Solar PV,237.2409664206937,189.88643091438286,80.03947791110487,69064.02313934016
2030,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2030,renewable_inverter,Solar,Solar PV,237.2409664206937,193.19255002438285,81.43304798455388,69064.02313934016
2031,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2031,renewable_inverter,Solar,Solar PV,237.2409664206937,196.66397510438287,82.89629656778727,69064.02313934016
2032,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2032,renewable_inverter,Solar,Solar PV,237.2409664206937,200.30897143438284,84.43270757849626,69064.02313934016
2033,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2033,renewable_inverter,Solar,Solar PV,237.2409664206937,204.13621757438284,86.0459391370009,69064.02313934016
2034,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2034,renewable_inverter,Solar,Solar PV,237.2409664206937,208.15482602438286,87.7398322746953,69064.02313934016
2035,battery_inverter,,Battery inverter,123.76404853438285,123.76404853438285,100.0,
2035,renewable_inverter,Solar,Solar PV,237.2409664206937,212.37436490438284,89.51842007243576,69064.02313934016
