year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,on_grid_5,0.5,13511.252863839383,0.0,0.0,0.0,13511.252863839383,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25672.124141007043
2026,on_grid_7,0.5,13511.252863839383,0.0,0.0,0.0,13511.252863839383,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25672.124141007043
2027,on_grid_5,0.5,18898.975558429454,0.0,0.0,0.0,18898.975558429454,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059.846835597113
2027,on_grid_7,0.5,18898.975558429487,0.0,0.0,0.0,18898.975558429487,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059.846835597145
2028,on_grid_5,0.5,24867.626836494837,0.0,0.0,0.0,24867.626836494837,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37028.49811366249
2028,on_grid_7,0.5,24867.626836494837,0.0,0.0,0.0,24867.626836494837,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37028.49811366249
2029,on_grid_5,0.5,31218.83892186826,0.0,0.0,0.0,31218.83892186826,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43379.71019903592
2029,on_grid_7,0.5,31218.83892186826,0.0,0.0,0.0,31218.83892186826,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43379.71019903592
2030,on_grid_5,0.5,0.0,15881.586143955921,0.0,0.0,15881.586143955921,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28042.45742112358
2030,on_grid_7,0.5,38012.07184341314,0.0,0.0,0.0,38012.07184341314,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50172.9431205808
2031,on_grid_5,0.5,0.0,18890.995870503284,0.0,0.0,18890.995870503284,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31051.867147670942
2031,on_grid_7,0.5,45313.29773564495,0.0,0.0,0.0,45313.29773564495,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57474.16901281261
2032,on_grid_5,0.5,0.0,22078.710086894287,0.0,0.0,22078.710086894287,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34239.581364061945
2032,on_grid_7,0.5,0.0,22078.71008689429,0.0,0.0,22078.71008689429,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34239.58136406195
2033,on_grid_5,0.5,0.0,25461.83939982938,0.0,0.0,25461.83939982938,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37622.710676997034
2033,on_grid_7,0.5,0.0,25461.839399829376,0.0,0.0,25461.839399829376,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37622.710676997034
2034,on_grid_5,0.5,19.852346191871398,29035.57143162992,0.0,0.0,29055.42377782179,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41216.29505498945
2034,on_grid_7,0.5,0.0,29043.884340382676,0.0,0.0,29043.884340382676,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41204.755617550334
2035,on_grid_5,0.5,33.2252625931169,32837.47582000074,0.0,0.0,32870.701082593856,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45031.572359761514
2035,on_grid_7,0.5,0.6729227234044575,32851.10668400088,0.0,0.0,32851.77960672428,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45012.65088389194
2026,Expected,1.0,13511.252863839383,0.0,0.0,0.0,13511.252863839383,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25672.124141007043
2027,Expected,1.0,18898.97555842947,0.0,0.0,0.0,18898.97555842947,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059.846835597127
2028,Expected,1.0,24867.626836494837,0.0,0.0,0.0,24867.626836494837,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37028.49811366249
2029,Expected,1.0,31218.83892186826,0.0,0.0,0.0,31218.83892186826,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43379.71019903592
2030,Expected,1.0,19006.03592170657,7940.793071977961,0.0,0.0,26946.828993684532,6149.28584962438,427.0337395572486,4678.796259903829,198.02247765501255,707.732950427189,12160.87127716766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39107.70027085219
