year,discount_factor,annuity_res,annuity_res_inverter,annuity_battery,annuity_battery_inverter,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost,annuity_total,renewables_cost,battery_cost,generator_cost,grid_cost,reliability_cost
2026,0.9310986964618249,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1165.9909691043026,14128.971722262955,0.0,0.0,75859.5182783279,70632.69858317309,0.0,70632.69858317309,13503.874027359656,0.0,0.0,0.0,13503.874027359656,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,653.887112151594,12108.766747261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25612.64077462068,61730.546556064946,34939.45673572966,37079.97848634041,15323.752108615552,0.0,0.0
2027,0.8669447825529095,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1165.9909691043026,19522.82606806131,0.0,0.0,81253.37262412626,70442.18746131368,0.0,70442.18746131368,18897.72837315801,0.0,0.0,0.0,18897.72837315801,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,653.887112151594,12108.766747261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31006.495120419037,61730.546556064946,34939.45673572966,37079.97848634041,20717.606454413908,0.0,0.0
2028,0.8072111569393944,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1165.9909691043026,25493.265849534946,0.0,0.0,87223.81240559989,70408.03452458899,0.0,70408.03452458899,24868.168154631647,0.0,0.0,0.0,24868.168154631647,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,653.887112151594,12108.766747261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36976.934901892666,61730.546556064946,34939.45673572966,37079.97848634041,26688.046235887545,0.0,0.0
2029,0.7515932559957116,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1165.9909691043026,31875.8279911128,0.0,0.0,93606.37454717775,70353.91982786743,0.0,70353.91982786743,31250.730296209502,0.0,0.0,0.0,31250.730296209502,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,653.887112151594,12108.766747261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43359.49704347052,61730.546556064946,34939.45673572966,37079.97848634041,33070.608377465396,0.0,0.0
2030,0.6998075009271058,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1165.9909691043026,27600.777777193696,0.0,0.0,89331.32433325864,62514.730836166484,0.0,62514.730836166484,19037.534110687746,7938.145971602649,0.0,0.0,26975.680082290397,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,653.887112151594,12108.766747261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39084.446829551416,61730.546556064946,34939.45673572966,37079.97848634041,20857.412191943644,7938.145971602649,0.0
2031,0.6515898518874355,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1261.9079133866294,32717.25820326899,0.0,0.0,94543.72170361626,61603.729621746235,0.0,61603.729621746235,22649.579160731137,9442.581347634554,0.0,0.0,32092.16050836569,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,707.6772832292961,12162.556918338725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44254.71742670442,61826.46350034728,34939.45673572966,37079.97848634041,24619.16435734706,9442.581347634554,0.0
2032,0.6066944617201447,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1261.9079133866294,22697.62679944763,0.0,0.0,84524.09029979492,51280.297466818985,0.0,51280.297466818985,0.0,22072.52910454433,0.0,0.0,22072.52910454433,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,707.6772832292961,12162.556918338725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34235.08602288306,61826.46350034728,34939.45673572966,37079.97848634041,1969.5851966159255,22072.52910454433,0.0
2033,0.5648924224582352,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1261.9079133866294,26080.261762704547,0.0,0.0,87906.72526305183,49657.842984215895,0.0,49657.842984215895,0.0,25455.164067801248,0.0,0.0,25455.164067801248,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,707.6772832292961,12162.556918338725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37617.720986139975,61826.46350034728,34939.45673572966,37079.97848634041,1969.5851966159255,25455.164067801248,0.0
2034,0.5259705981920254,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1261.9079133866294,29667.501517159882,0.0,0.0,91493.96501750716,48123.13551121848,0.0,48123.13551121848,9.922752358892282,29032.48106989769,0.0,0.0,29042.403822256583,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,707.6772832292961,12162.556918338725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41204.960740595314,61826.46350034728,34939.45673572966,37079.97848634041,1979.5079489748177,29032.48106989769,0.0
2035,0.4897305383538411,24246.020971648482,4115.285810290907,30296.200424687224,1907.0483803340294,1261.9079133866294,33478.44603201929,0.0,0.0,95304.90953236657,46673.724653050005,121786.51176903518,46673.724653050005,17.0123039671068,32836.33603314888,0.0,0.0,32853.34833711599,6150.997359388304,427.1525944019657,4678.7845808178245,197.94510050133403,707.6772832292961,12162.556918338725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45015.905255454716,61826.46350034728,34939.45673572966,37079.97848634041,1986.5975005830323,32836.33603314888,0.0
