year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,renewable_inverter_clipping_potential_kwh,renewable_active_inverter_capacity_ac_kw,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,on_grid_5,401034.25999999995,401034.25999999995,0.0,0.0,400906.7080351205,414143.97782389354,13237.269788773032,0.03196296577419246,72889.34009700525,250.38126509792176,29347.695792118666,0.0,0.0,0.0,0.0,0.9317899002751342,8512.500229759446,22898.62561805291,0.0,232771.12901368726,255669.75463174016,
2026,on_grid_7,401034.25999999995,401034.25999999995,0.0,0.0,400906.7080351205,414143.97782389354,13237.269788773032,0.03196296577419246,72889.34009700525,250.38126509792176,29347.695792118666,0.0,0.0,0.0,0.0,0.9317899002751342,8512.500229759446,22898.62561805291,0.0,232771.12901368726,255669.75463174016,
2027,on_grid_5,421085.97300000006,421085.97300000006,0.0,0.0,414763.78668218903,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,36783.66685072507,0.0,0.0,0.0,0.0,0.9185386462420968,10669.35458020799,28700.563820759493,0.0,0.0,28700.563820759493,
2027,on_grid_7,421085.97300000006,421085.97300000006,0.0,0.0,414763.7866821891,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,36783.66685072507,0.0,0.0,0.0,0.0,0.9185386462420968,10669.35458020799,28700.563820759493,0.0,0.0,28700.563820759493,
2028,on_grid_5,442140.27165,442140.27165,0.0,0.0,420875.5412564838,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,51505.134696941015,0.0,0.0,0.0,0.0,0.8909668889545785,14939.41718788172,40187.03223540183,0.0,0.0,40187.03223540183,
2028,on_grid_7,442140.27165,442140.27165,0.0,0.0,420875.5412564838,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,51505.134696941015,0.0,0.0,0.0,0.0,0.8909668889545785,14939.41718788172,40187.03223540183,0.0,0.0,40187.03223540183,
2029,on_grid_5,464247.28527630004,464247.28527630004,0.0,0.0,426058.2014010909,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,68087.50825144933,0.0,0.0,0.0,0.0,0.8622116778078975,19749.248245576437,53125.47778060062,0.0,0.0,53125.47778060062,
2029,on_grid_7,464247.28527630004,464247.28527630004,0.0,0.0,426058.2014010909,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,68087.50825144933,0.0,0.0,0.0,0.0,0.8622116778078975,19749.248245576437,53125.47778060062,0.0,0.0,53125.47778060062,
2030,on_grid_5,487459.64948135,487459.64948135,0.0,0.0,431248.15285461687,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,90161.04891459085,85652.99646886131,0.0,77087.69682197519,0.9834295209865631,0.0,0.0,29978.548764101455,0.0,29978.548764101455,
2030,on_grid_7,487459.64948135,487459.64948135,0.0,0.0,431248.15285461687,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,85837.16410777807,0.0,0.0,0.0,0.0,0.8339980631977206,24897.657532131932,66974.69876143489,0.0,0.0,66974.69876143489,
2031,on_grid_5,511832.6319847999,511832.6319847999,0.0,0.0,436476.4589938064,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,109866.612392579,104373.28177295005,0.0,93935.95359565505,0.9807019817324898,0.0,0.0,36530.64862053251,0.0,36530.64862053251,
2031,on_grid_7,511832.6319847999,511832.6319847999,0.0,0.0,436476.4589938064,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,104810.88361631006,0.0,0.0,0.0,0.0,0.8063673849994231,30401.114867243898,81778.99899288609,0.0,0.0,81778.99899288609,
2032,on_grid_5,537424.2635818501,537424.2635818501,0.0,0.0,441654.65079975023,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,130871.68703084624,124328.1026793039,0.0,111895.29241137352,0.9780332347734859,0.0,0.0,43514.83593775636,0.0,43514.83593775636,
2032,on_grid_7,537424.2635818501,537424.2635818501,0.0,0.0,441654.65079975023,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,130871.68703084622,124328.10267930392,0.0,111895.29241137354,0.9780332347734859,0.0,0.0,43514.83593775637,0.0,43514.83593775637,
2033,on_grid_5,564295.47674105,564295.47674105,0.0,0.0,446849.998093943,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,153171.65307065588,145513.0704171231,0.0,130961.76337541078,0.9754351548649249,0.0,0.0,50929.57464599308,0.0,50929.57464599308,
2033,on_grid_7,564295.47674105,564295.47674105,0.0,0.0,446849.99809394294,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,153171.6530706559,145513.0704171231,0.0,130961.76337541078,0.9754351548649247,0.0,0.0,50929.57464599308,0.0,50929.57464599308,
2034,on_grid_5,592510.2505604001,592510.2505604001,0.0,0.0,452079.8264698278,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,16.15067169127542,176792.78481817112,167953.14557726256,0.0,151157.8310195363,0.9728868816784982,4.684612974612896,12.601608901708689,58783.600952041896,0.0,58796.2025609436,
2034,on_grid_7,592510.2505604001,592510.2505604001,0.0,0.0,452079.8264698278,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,176809.78552521457,167969.29624895385,0.0,151172.36662405846,0.9729103243445543,0.0,0.0,58789.253687133845,0.0,58789.253687133845,
2035,on_grid_5,622135.7631293,622135.7631293,0.0,0.0,457326.3224592123,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,53.4050647976926,201792.5272059609,191702.90084566287,0.0,172532.61076109658,0.9703832851024701,15.490504930297192,41.66945826249945,67096.015295982,0.0,67137.6847542445,
2035,on_grid_7,622135.7631293,622135.7631293,0.0,0.0,457326.3224592123,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,201848.74306364267,191756.30591046053,0.0,172580.6753194145,0.9704573350865817,0.0,0.0,67114.70706866118,0.0,67114.70706866118,
2026,expected,401034.25999999995,401034.25999999995,0.0,0.0,400906.7080351205,414143.97782389354,13237.269788773032,0.03196296577419246,72889.34009700525,250.38126509792176,29347.695792118666,0.0,0.0,0.0,0.0,0.9317899002751342,8512.500229759446,22898.62561805291,0.0,232771.12901368726,255669.75463174016,
2027,expected,421085.97300000006,421085.97300000006,0.0,0.0,414763.7866821891,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,36783.66685072507,0.0,0.0,0.0,0.0,0.9185386462420968,10669.35458020799,28700.563820759493,0.0,0.0,28700.563820759493,
2028,expected,442140.27165,442140.27165,0.0,0.0,420875.5412564838,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,51505.134696941015,0.0,0.0,0.0,0.0,0.8909668889545785,14939.41718788172,40187.03223540183,0.0,0.0,40187.03223540183,
2029,expected,464247.28527630004,464247.28527630004,0.0,0.0,426058.2014010909,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,68087.50825144933,0.0,0.0,0.0,0.0,0.8622116778078975,19749.248245576437,53125.47778060062,0.0,0.0,53125.47778060062,
2030,expected,487459.64948135,487459.64948135,0.0,0.0,431248.15285461687,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,42918.58205388903,45080.524457295425,42826.498234430655,0.0,38543.84841098759,0.9087137920921419,12448.828766065966,33487.349380717445,14989.274382050728,0.0,48476.62376276817,
2031,expected,511832.6319847999,511832.6319847999,0.0,0.0,436476.4589938064,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,52405.44180815503,54933.3061962895,52186.64088647503,0.0,46967.97679782753,0.8935346833659564,15200.557433621949,40889.499496443044,18265.324310266256,0.0,59154.823806709304,
2032,expected,537424.2635818501,537424.2635818501,0.0,0.0,441654.65079975023,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,130871.68703084622,124328.1026793039,0.0,111895.29241137352,0.9780332347734859,0.0,0.0,43514.83593775636,0.0,43514.83593775636,
2033,expected,564295.47674105,564295.47674105,0.0,0.0,446849.998093943,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,0.0,153171.65307065588,145513.0704171231,0.0,130961.76337541078,0.9754351548649248,0.0,0.0,50929.57464599308,0.0,50929.57464599308,
2034,expected,592510.2505604001,592510.2505604001,0.0,0.0,452079.8264698278,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,8.07533584563771,176801.28517169284,167961.2209131082,0.0,151165.09882179738,0.9728986030115263,2.342306487306448,6.300804450854344,58786.42731958787,0.0,58792.728124038724,
2035,expected,622135.7631293,622135.7631293,0.0,0.0,457326.3224592123,414143.97782389354,0.0,0.0,72889.34009700525,250.38126509792176,26.7025323988463,201820.6351348018,191729.6033780617,0.0,172556.64304025553,0.9704203100945259,7.745252465148596,20.834729131249723,67105.36118232159,0.0,67126.19591145284,
