year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,on_grid_5,0.5,11064.215600690857,0.0,0.0,0.0,11064.215600690857,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,22894.415358352875,0.0,150241.30342120997,82541.57576468414,0.0,232782.8791858941,255677.29454424698,2289.4415358352876,0.0,15024.130342120998,8254.157576468415,0.0,25567.729454424698,49369.100385019905
2026,on_grid_7,0.5,11064.215600690857,0.0,0.0,0.0,11064.215600690857,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,22894.415358352875,0.0,150241.30342120997,82541.57576468414,0.0,232782.8791858941,255677.29454424698,2289.4415358352876,0.0,15024.130342120998,8254.157576468415,0.0,25567.729454424698,49369.100385019905
2027,on_grid_5,0.5,13873.926759628808,0.0,0.0,0.0,13873.926759628808,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,28708.356141078253,0.0,0.0,0.0,0.0,0.0,28708.356141078253,2870.8356141078257,0.0,0.0,0.0,0.0,2870.8356141078257,29481.91770364098
2027,on_grid_7,0.5,13873.926759628803,0.0,0.0,0.0,13873.926759628803,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,28708.356141078275,0.0,0.0,0.0,0.0,0.0,28708.356141078275,2870.8356141078275,0.0,0.0,0.0,0.0,2870.8356141078275,29481.917703640975
2028,on_grid_5,0.5,19429.383927754698,0.0,0.0,0.0,19429.383927754698,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,40203.879050508,0.0,0.0,0.0,0.0,0.0,40203.879050508,4020.3879050508003,0.0,0.0,0.0,0.0,4020.3879050508003,36186.92716270984
2028,on_grid_7,0.5,19429.3839277547,0.0,0.0,0.0,19429.3839277547,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,40203.879050508,0.0,0.0,0.0,0.0,0.0,40203.879050508,4020.3879050508003,0.0,0.0,0.0,0.0,4020.3879050508003,36186.92716270985
2029,on_grid_5,0.5,25701.466654756292,0.0,0.0,0.0,25701.466654756292,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,53182.26561638123,0.0,0.0,0.0,0.0,0.0,53182.26561638123,5318.226561638123,0.0,0.0,0.0,0.0,5318.226561638123,43756.84854629876
2029,on_grid_7,0.5,25701.466654756292,0.0,0.0,0.0,25701.466654756292,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,53182.26561638123,0.0,0.0,0.0,0.0,0.0,53182.26561638123,5318.226561638123,0.0,0.0,0.0,0.0,5318.226561638123,43756.84854629876
2030,on_grid_5,0.5,0.0,13522.589154399098,0.0,0.0,13522.589154399098,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,0.0,29975.07262558462,0.0,0.0,0.0,0.0,29975.07262558462,0.0,2997.507262558462,0.0,0.0,0.0,2997.507262558462,29257.251746861904
2030,on_grid_7,0.5,32421.159826308638,0.0,0.0,0.0,32421.159826308638,6490.424307796271,450.72391026362993,4952.494545881048,211.96092632174023,631.5516396416565,12737.155329904346,0.0,67086.86148674866,0.0,0.0,0.0,0.0,0.0,67086.86148674866,6708.686148674867,0.0,0.0,0.0,0.0,6708.686148674867,51867.00130488785
